identifier,INF2cnt,INF4cnt,INF3cnt
ENSMUSG00000022856,235,213,231
ENSMUSG00000022858,1862,1410,1786
ENSMUSG00000022861,15,21,20
ENSMUSG00000022863,5,11,5
ENSMUSG00000022864,85,62,104
ENSMUSG00000022865,8,1,2
ENSMUSG00000022867,1952,1562,2296
ENSMUSG00000022876,519,388,485
ENSMUSG00000022878,0,0,10
ENSMUSG00000022881,152,171,134
ENSMUSG00000022884,807,641,940
ENSMUSG00000022885,1178,1313,1442
ENSMUSG00000022889,725,832,713
ENSMUSG00000022890,4788,4481,4430
ENSMUSG00000022892,7583,7380,8726
ENSMUSG00000022893,20,6,0
ENSMUSG00000022895,1239,1056,1255
ENSMUSG00000022897,1390,1196,1494
ENSMUSG00000022898,1415,1528,1584
ENSMUSG00000022899,30,24,20
ENSMUSG00000022900,3,2,1
ENSMUSG00000022901,2810,1638,2646
ENSMUSG00000022905,1690,1203,2286
ENSMUSG00000022906,906,628,1094
ENSMUSG00000022911,415,391,405
ENSMUSG00000022912,731,534,904
ENSMUSG00000022913,287,262,259
ENSMUSG00000022914,709,611,809
ENSMUSG00000022915,2,4,1
ENSMUSG00000022940,600,475,657
ENSMUSG00000022941,4,1,0
ENSMUSG00000022945,243,303,304
ENSMUSG00000022946,479,504,448
ENSMUSG00000022947,589,667,455
ENSMUSG00000022948,70,52,58
ENSMUSG00000022951,954,863,862
ENSMUSG00000022952,1604,1574,1753
ENSMUSG00000022956,2269,2357,1989
ENSMUSG00000022957,669,684,654
ENSMUSG00000022960,251,204,236
ENSMUSG00000022961,6990,5701,5765
ENSMUSG00000022962,589,608,716
ENSMUSG00000022964,2340,1953,2607
ENSMUSG00000022965,6685,6648,6851
ENSMUSG00000022967,9072,6872,9902
ENSMUSG00000022969,3807,3887,4128
ENSMUSG00000022971,3494,3252,3771
ENSMUSG00000022972,104,143,124
ENSMUSG00000022973,1366,1083,1413
ENSMUSG00000022974,473,411,484
ENSMUSG00000022978,378,425,536
ENSMUSG00000022982,1371,1646,1195
ENSMUSG00000022983,357,395,547
ENSMUSG00000022992,288,225,283
ENSMUSG00000022994,1,2,2
ENSMUSG00000022995,3,0,1
ENSMUSG00000022996,0,3,0
ENSMUSG00000022997,0,1,0
ENSMUSG00000022999,207,196,243
ENSMUSG00000023000,0,0,1
ENSMUSG00000023004,1323,1511,1296
ENSMUSG00000023007,40,65,72
ENSMUSG00000023008,1852,1135,1995
ENSMUSG00000023009,205,193,212
ENSMUSG00000023010,5663,6143,5837
ENSMUSG00000023015,142,141,177
ENSMUSG00000023017,10,33,14
ENSMUSG00000023018,624,552,600
ENSMUSG00000023019,3,0,10
ENSMUSG00000023020,1301,1302,1066
ENSMUSG00000023021,1400,1365,1573
ENSMUSG00000023022,471,482,505
ENSMUSG00000023025,1540,1181,1500
ENSMUSG00000023026,866,964,1006
ENSMUSG00000023027,1123,901,1286
ENSMUSG00000023030,3004,2481,3092
ENSMUSG00000023031,248,280,273
ENSMUSG00000023032,10,3,4
ENSMUSG00000023033,0,0,1
ENSMUSG00000023034,112,170,174
ENSMUSG00000023036,12,24,5
ENSMUSG00000023043,0,0,1
ENSMUSG00000023044,577,506,584
ENSMUSG00000023045,3,5,4
ENSMUSG00000023046,0,0,2
ENSMUSG00000023048,5835,5137,5438
ENSMUSG00000023050,2500,2327,1988
ENSMUSG00000023051,340,250,254
ENSMUSG00000023052,7,15,19
ENSMUSG00000023055,576,461,667
ENSMUSG00000023064,1,2,0
ENSMUSG00000023066,171,140,157
ENSMUSG00000023067,8298,8944,7654
ENSMUSG00000023068,2192,1705,2227
ENSMUSG00000023072,91,68,114
ENSMUSG00000023074,494,401,651
ENSMUSG00000023075,5336,4477,5753
ENSMUSG00000023079,193,116,195
ENSMUSG00000023084,184,198,164
ENSMUSG00000023087,549,466,646
ENSMUSG00000023088,2924,2545,3070
ENSMUSG00000023089,1671,1669,1385
ENSMUSG00000023092,1,0,0
ENSMUSG00000023094,28,51,47
ENSMUSG00000023104,4621,4448,4058
ENSMUSG00000023106,1470,1353,1358
ENSMUSG00000023110,494,577,495
ENSMUSG00000023118,532,596,514
ENSMUSG00000023143,1151,1241,1143
ENSMUSG00000023147,513,460,531
ENSMUSG00000023150,2134,1551,2662
ENSMUSG00000023151,0,0,2
ENSMUSG00000023153,0,0,3
ENSMUSG00000023156,317,260,265
ENSMUSG00000023169,1164,968,1007
ENSMUSG00000023170,1276,1483,1072
ENSMUSG00000023175,5039,5087,4877
ENSMUSG00000023186,3144,2645,3966
ENSMUSG00000023191,115,130,184
ENSMUSG00000023192,0,1,0
ENSMUSG00000023206,59,71,95
ENSMUSG00000023216,1,1,0
ENSMUSG00000023232,3,2,9
ENSMUSG00000023235,104,125,87
ENSMUSG00000023249,370,283,320
ENSMUSG00000023259,23,21,34
ENSMUSG00000023262,45,22,19
ENSMUSG00000023266,26,22,27
ENSMUSG00000023272,418,498,399
ENSMUSG00000023274,228,184,223
ENSMUSG00000023277,1224,1569,1247
ENSMUSG00000023284,55,30,31
ENSMUSG00000023286,1640,1660,1575
ENSMUSG00000023307,2930,2330,2935
ENSMUSG00000023328,0,8,11
ENSMUSG00000023330,170,207,208
ENSMUSG00000023341,30,35,36
ENSMUSG00000023345,100,105,85
ENSMUSG00000023348,39,30,37
ENSMUSG00000023349,3553,2659,2930
ENSMUSG00000023353,1230,1316,1117
ENSMUSG00000023367,2326,2126,2041
ENSMUSG00000023391,0,0,2
ENSMUSG00000023393,95,137,75
ENSMUSG00000023439,13,7,7
ENSMUSG00000023452,1932,1805,1769
ENSMUSG00000023456,5326,6211,4748
ENSMUSG00000023460,3150,2339,2926
ENSMUSG00000023467,23,32,40
ENSMUSG00000023473,0,2,2
ENSMUSG00000023484,2,0,2
ENSMUSG00000023495,128,68,125
ENSMUSG00000023505,141,160,148
ENSMUSG00000023571,391,477,373
ENSMUSG00000023572,943,914,960
ENSMUSG00000023707,359,370,329
ENSMUSG00000023723,34,20,16
ENSMUSG00000023755,95,63,71
ENSMUSG00000023764,95,128,112
ENSMUSG00000023781,0,3,0
ENSMUSG00000023791,510,472,526
ENSMUSG00000023795,18,21,40
ENSMUSG00000023800,31,22,27
ENSMUSG00000023805,354,338,390
ENSMUSG00000023806,92,101,119
ENSMUSG00000023809,181,162,165
ENSMUSG00000023826,73,64,92
ENSMUSG00000023827,498,488,445
ENSMUSG00000023830,571,471,549
ENSMUSG00000023832,259,229,241
ENSMUSG00000023845,220,165,276
ENSMUSG00000023852,1339,1104,1307
ENSMUSG00000023861,562,565,670
ENSMUSG00000023868,2,0,3
ENSMUSG00000023873,26,29,30
ENSMUSG00000023882,43,45,54
ENSMUSG00000023883,1258,937,1278
ENSMUSG00000023892,214,120,302
ENSMUSG00000023903,5,7,2
ENSMUSG00000023904,929,1049,854
ENSMUSG00000023905,731,968,652
ENSMUSG00000023908,150,156,116
ENSMUSG00000023909,248,237,224
ENSMUSG00000023911,11,19,9
ENSMUSG00000023912,4,8,9
ENSMUSG00000023913,1192,949,1218
ENSMUSG00000023914,5,1,2
ENSMUSG00000023915,685,749,903
ENSMUSG00000023919,50,37,69
ENSMUSG00000023921,365,351,579
ENSMUSG00000023923,664,535,687
ENSMUSG00000023927,68,82,84
ENSMUSG00000023931,0,0,6
ENSMUSG00000023932,1087,890,962
ENSMUSG00000023935,7,0,4
ENSMUSG00000023938,53,82,82
ENSMUSG00000023939,621,783,595
ENSMUSG00000023940,14,16,46
ENSMUSG00000023942,1729,1555,1710
ENSMUSG00000023944,13448,13684,10745
ENSMUSG00000023947,3734,3572,3852
ENSMUSG00000023951,1078,1035,978
ENSMUSG00000023952,514,560,486
ENSMUSG00000023953,21,17,51
ENSMUSG00000023959,8,1,9
ENSMUSG00000023960,1,0,0
ENSMUSG00000023961,40,32,61
ENSMUSG00000023963,3,0,3
ENSMUSG00000023965,547,560,557
ENSMUSG00000023966,235,237,170
ENSMUSG00000023967,1484,1684,1297
ENSMUSG00000023971,526,603,529
ENSMUSG00000023972,4,0,5
ENSMUSG00000023973,1624,1828,1564
ENSMUSG00000023977,832,918,1044
ENSMUSG00000023979,2,5,5
ENSMUSG00000023980,254,312,234
ENSMUSG00000023982,373,404,285
ENSMUSG00000023984,15,7,7
ENSMUSG00000023988,254,335,276
ENSMUSG00000023990,1384,1472,1371
ENSMUSG00000023991,436,418,454
ENSMUSG00000023992,26196,30853,24840
ENSMUSG00000023993,73,68,29
ENSMUSG00000023994,287,301,308
ENSMUSG00000024002,2650,2608,2518
ENSMUSG00000024006,1957,1623,2349
ENSMUSG00000024007,307,335,319
ENSMUSG00000024008,2,2,0
ENSMUSG00000024011,2,2,2
ENSMUSG00000024012,2970,3217,2948
ENSMUSG00000024013,785,853,910
ENSMUSG00000024014,570,730,536
ENSMUSG00000024018,347,302,369
ENSMUSG00000024019,104,162,89
ENSMUSG00000024026,638,600,555
ENSMUSG00000024030,869,785,834
ENSMUSG00000024033,3,3,2
ENSMUSG00000024036,47,39,45
ENSMUSG00000024037,292,347,255
ENSMUSG00000024038,1707,1927,1616
ENSMUSG00000024039,2,0,0
ENSMUSG00000024042,301,282,309
ENSMUSG00000024043,14,22,32
ENSMUSG00000024044,74,57,84
ENSMUSG00000024045,1191,797,1174
ENSMUSG00000024048,6215,6077,5647
ENSMUSG00000024049,63,42,65
ENSMUSG00000024050,338,345,368
ENSMUSG00000024052,3138,3101,3201
ENSMUSG00000024053,1340,1252,1547
ENSMUSG00000024054,570,525,690
ENSMUSG00000024055,544,561,566
ENSMUSG00000024056,43,46,50
ENSMUSG00000024063,37,52,42
ENSMUSG00000024065,0,1,0
ENSMUSG00000024066,4103,3238,4302
ENSMUSG00000024067,585,682,600
ENSMUSG00000024068,704,528,648
ENSMUSG00000024069,543,465,509
ENSMUSG00000024070,570,501,719
ENSMUSG00000024072,1315,987,1549
ENSMUSG00000024073,1383,1308,1318
ENSMUSG00000024074,197,157,134
ENSMUSG00000024077,668,484,681
ENSMUSG00000024078,117,93,140
ENSMUSG00000024079,497,404,411
ENSMUSG00000024081,896,725,927
ENSMUSG00000024082,224,212,244
ENSMUSG00000024083,1422,1038,1554
ENSMUSG00000024084,225,225,289
ENSMUSG00000024085,930,780,916
ENSMUSG00000024091,5117,4162,5707
ENSMUSG00000024095,2053,1353,2195
ENSMUSG00000024096,1426,1548,1328
ENSMUSG00000024097,1392,1173,1399
ENSMUSG00000024098,721,513,866
ENSMUSG00000024099,2999,2620,2840
ENSMUSG00000024101,252,311,234
ENSMUSG00000024104,3104,2798,2996
ENSMUSG00000024109,0,2,0
ENSMUSG00000024118,45,59,60
ENSMUSG00000024120,583,428,755
ENSMUSG00000024121,630,646,653
ENSMUSG00000024122,840,993,1028
ENSMUSG00000024124,2,0,0
ENSMUSG00000024127,173,158,142
ENSMUSG00000024130,846,883,921
ENSMUSG00000024131,15,25,14
ENSMUSG00000024132,292,302,217
ENSMUSG00000024135,38,35,68
ENSMUSG00000024136,3,13,4
ENSMUSG00000024137,390,326,335
ENSMUSG00000024140,17,19,18
ENSMUSG00000024142,271,239,216
ENSMUSG00000024143,1659,1125,1772
ENSMUSG00000024145,249,181,278
ENSMUSG00000024146,2871,2268,2842
ENSMUSG00000024150,3268,2964,3342
ENSMUSG00000024151,176,192,264
ENSMUSG00000024158,950,1150,928
ENSMUSG00000024160,853,851,762
ENSMUSG00000024163,1321,1509,1184
ENSMUSG00000024164,588,526,652
ENSMUSG00000024165,662,628,854
ENSMUSG00000024168,12,13,13
ENSMUSG00000024169,171,146,183
ENSMUSG00000024170,167,165,189
ENSMUSG00000024174,9,11,7
ENSMUSG00000024177,261,323,320
ENSMUSG00000024180,793,754,788
ENSMUSG00000024181,1132,1424,1077
ENSMUSG00000024182,1409,1214,1511
ENSMUSG00000024186,36,25,8
ENSMUSG00000024187,4309,3906,4420
ENSMUSG00000024188,452,422,568
ENSMUSG00000024190,4015,3689,4422
ENSMUSG00000024191,221,226,193
ENSMUSG00000024193,223,229,255
ENSMUSG00000024194,1053,1333,951
ENSMUSG00000024197,2577,2902,2636
ENSMUSG00000024201,346,281,416
ENSMUSG00000024205,127,118,111
ENSMUSG00000024206,102,78,44
ENSMUSG00000024208,566,745,487
ENSMUSG00000024209,0,1,4
ENSMUSG00000024210,3,0,0
ENSMUSG00000024212,571,557,519
ENSMUSG00000024213,933,1062,1045
ENSMUSG00000024217,547,530,512
ENSMUSG00000024218,400,384,397
ENSMUSG00000024219,221,286,322
ENSMUSG00000024220,215,170,192
ENSMUSG00000024222,226,207,239
ENSMUSG00000024228,2,10,19
ENSMUSG00000024231,805,602,978
ENSMUSG00000024232,233,246,251
ENSMUSG00000024234,713,424,675
ENSMUSG00000024235,596,484,670
ENSMUSG00000024236,151,164,193
ENSMUSG00000024238,20,53,51
ENSMUSG00000024240,447,494,430
ENSMUSG00000024241,467,364,390
ENSMUSG00000024242,2669,1782,2881
ENSMUSG00000024245,170,122,104
ENSMUSG00000024246,143,136,177
ENSMUSG00000024247,71,61,46
ENSMUSG00000024248,2531,2587,2317
ENSMUSG00000024251,159,149,155
ENSMUSG00000024253,56,57,71
ENSMUSG00000024258,611,534,569
ENSMUSG00000024259,1932,1180,2112
ENSMUSG00000024260,309,409,310
ENSMUSG00000024268,8,3,2
ENSMUSG00000024269,405,499,477
ENSMUSG00000024270,1260,1085,1354
ENSMUSG00000024271,1474,1254,1505
ENSMUSG00000024273,261,238,261
ENSMUSG00000024274,0,4,2
ENSMUSG00000024276,518,486,465
ENSMUSG00000024277,2771,2264,3116
ENSMUSG00000024283,1673,1144,2005
ENSMUSG00000024286,832,765,781
ENSMUSG00000024287,908,620,1086
ENSMUSG00000024290,2714,1987,2372
ENSMUSG00000024293,862,596,1140
ENSMUSG00000024294,1545,1158,1539
ENSMUSG00000024295,1,7,2
ENSMUSG00000024298,1310,1104,1564
ENSMUSG00000024299,233,258,299
ENSMUSG00000024300,7140,6391,7988
ENSMUSG00000024301,1,6,0
ENSMUSG00000024308,10106,9389,10573
ENSMUSG00000024309,504,514,432
ENSMUSG00000024312,403,313,325
ENSMUSG00000024317,738,539,878
ENSMUSG00000024319,671,602,645
ENSMUSG00000024325,378,381,414
ENSMUSG00000024327,59,56,48
ENSMUSG00000024330,16,9,21
ENSMUSG00000024334,37,33,27
ENSMUSG00000024335,3625,3695,3927
ENSMUSG00000024338,3780,4301,3443
ENSMUSG00000024339,836,828,761
ENSMUSG00000024340,2,3,1
ENSMUSG00000024346,916,786,714
ENSMUSG00000024349,557,665,657
ENSMUSG00000024350,559,522,604
ENSMUSG00000024352,113,91,88
ENSMUSG00000024354,10,20,15
ENSMUSG00000024357,650,725,681
ENSMUSG00000024359,4550,3462,4604
ENSMUSG00000024360,3883,3081,3723
ENSMUSG00000024369,1043,956,839
ENSMUSG00000024370,433,352,624
ENSMUSG00000024371,5,12,6
ENSMUSG00000024376,1,7,8
ENSMUSG00000024378,920,770,726
ENSMUSG00000024379,0,1,4
ENSMUSG00000024381,2049,2259,1873
ENSMUSG00000024382,420,472,381
ENSMUSG00000024383,867,764,801
ENSMUSG00000024384,818,640,629
ENSMUSG00000024387,1499,1582,1372
ENSMUSG00000024391,0,1,1
ENSMUSG00000024392,1271,1238,1015
ENSMUSG00000024393,499,504,407
ENSMUSG00000024395,11,18,11
ENSMUSG00000024397,3880,3835,3185
ENSMUSG00000024399,23,12,14
ENSMUSG00000024400,1088,908,1129
ENSMUSG00000024401,4468,4462,4460
ENSMUSG00000024402,5,0,6
ENSMUSG00000024403,140,139,96
ENSMUSG00000024404,5628,4195,6187
ENSMUSG00000024410,1345,1472,1235
ENSMUSG00000024413,6559,7123,6286
ENSMUSG00000024414,1605,1719,1447
ENSMUSG00000024421,28,18,21
ENSMUSG00000024422,382,379,401
ENSMUSG00000024423,1402,1089,1392
ENSMUSG00000024424,405,353,347
ENSMUSG00000024425,2280,2179,2623
ENSMUSG00000024426,102,83,94
ENSMUSG00000024429,962,998,1027
ENSMUSG00000024430,12,7,26
ENSMUSG00000024431,2312,2024,2152
ENSMUSG00000024436,505,471,398
ENSMUSG00000024437,45,64,83
ENSMUSG00000024442,143,111,125
ENSMUSG00000024446,715,754,635
ENSMUSG00000024451,273,243,266
ENSMUSG00000024454,988,747,960
ENSMUSG00000024456,1142,1231,859
ENSMUSG00000024457,1019,1005,934
ENSMUSG00000024462,7,0,16
ENSMUSG00000024472,368,336,335
ENSMUSG00000024474,3369,3109,3273
ENSMUSG00000024477,204,114,305
ENSMUSG00000024480,4196,2404,4041
ENSMUSG00000024483,1406,1272,1541
ENSMUSG00000024486,53,47,36
ENSMUSG00000024487,1808,1557,1797
ENSMUSG00000024491,822,606,841
ENSMUSG00000024493,742,599,666
ENSMUSG00000024498,1107,1047,1139
ENSMUSG00000024505,88,56,80
ENSMUSG00000024507,1770,1588,1811
ENSMUSG00000024513,1489,1400,1667
ENSMUSG00000024515,1992,1628,2063
ENSMUSG00000024516,3982,3307,3664
ENSMUSG00000024521,219,152,300
ENSMUSG00000024524,206,179,163
ENSMUSG00000024525,105,124,107
ENSMUSG00000024527,1274,1282,1149
ENSMUSG00000024528,379,249,322
ENSMUSG00000024529,17,3,6
ENSMUSG00000024530,71,34,59
ENSMUSG00000024533,603,577,554
ENSMUSG00000024534,70,89,113
ENSMUSG00000024535,1249,1278,1445
ENSMUSG00000024537,270,281,287
ENSMUSG00000024538,35,24,45
ENSMUSG00000024539,842,612,875
ENSMUSG00000024542,182,167,233
ENSMUSG00000024544,172,173,165
ENSMUSG00000024556,482,442,611
ENSMUSG00000024560,450,558,649
ENSMUSG00000024561,668,643,811
ENSMUSG00000024563,1542,1216,1648
ENSMUSG00000024566,1184,851,1189
ENSMUSG00000024570,941,1122,998
ENSMUSG00000024571,3098,3287,2855
ENSMUSG00000024575,0,2,0
ENSMUSG00000024576,4222,3616,4374
ENSMUSG00000024579,21,17,50
ENSMUSG00000024580,392,452,415
ENSMUSG00000024581,843,601,860
ENSMUSG00000024583,3295,2531,3201
ENSMUSG00000024587,3155,2525,3213
ENSMUSG00000024588,1848,1660,2167
ENSMUSG00000024589,665,498,670
ENSMUSG00000024590,76,75,93
ENSMUSG00000024592,53,71,97
ENSMUSG00000024593,0,4,0
ENSMUSG00000024594,1139,1313,1108
ENSMUSG00000024597,196,135,237
ENSMUSG00000024601,762,750,914
ENSMUSG00000024603,1419,1198,1391
ENSMUSG00000024604,893,837,969
ENSMUSG00000024608,7948,9234,6641
ENSMUSG00000024610,1706,1647,1607
ENSMUSG00000024613,455,487,449
ENSMUSG00000024614,933,592,1345
ENSMUSG00000024617,0,7,7
ENSMUSG00000024620,11,3,0
ENSMUSG00000024621,80546,70307,88054
ENSMUSG00000024622,608,726,651
ENSMUSG00000024639,3313,2522,2890
ENSMUSG00000024640,206,210,201
ENSMUSG00000024642,581,484,588
ENSMUSG00000024644,13864,14527,13393
ENSMUSG00000024645,181,145,206
ENSMUSG00000024646,5579,4840,4887
ENSMUSG00000024650,0,0,1
ENSMUSG00000024653,1,0,0
ENSMUSG00000024654,79,115,113
ENSMUSG00000024659,25739,23251,26055
ENSMUSG00000024660,453,412,439
ENSMUSG00000024661,769507,710533,660972
ENSMUSG00000024663,2484,2911,2589
ENSMUSG00000024664,20,14,36
ENSMUSG00000024665,222,248,262
ENSMUSG00000024666,199,161,183
ENSMUSG00000024667,176,181,155
ENSMUSG00000024668,769,725,921
ENSMUSG00000024669,33,19,28
ENSMUSG00000024670,0,0,3
ENSMUSG00000024672,46785,40221,42860
ENSMUSG00000024673,0,3,0
ENSMUSG00000024675,62,30,58
ENSMUSG00000024677,1508,1307,1956
ENSMUSG00000024678,1,0,0
ENSMUSG00000024679,3445,2582,3531
ENSMUSG00000024681,5,0,0
ENSMUSG00000024682,3,0,1
ENSMUSG00000024683,449,422,414
ENSMUSG00000024687,1062,881,1064
ENSMUSG00000024691,444,441,428
ENSMUSG00000024695,2098,2032,1961
ENSMUSG00000024696,3249,3434,3592
ENSMUSG00000024697,0,3,1
ENSMUSG00000024712,1128,937,1394
ENSMUSG00000024725,7168,7448,6545
ENSMUSG00000024726,87,64,67
ENSMUSG00000024730,1,0,0
ENSMUSG00000024732,1409,1338,1274
ENSMUSG00000024735,941,997,977
ENSMUSG00000024736,1381,1592,1130
ENSMUSG00000024737,4104,4689,3121
ENSMUSG00000024740,3789,2755,4042
ENSMUSG00000024742,540,681,691
ENSMUSG00000024743,4,2,3
ENSMUSG00000024750,9992,7150,10121
ENSMUSG00000024754,311,214,228
ENSMUSG00000024758,4543,4408,5434
ENSMUSG00000024759,569,519,613
ENSMUSG00000024761,86,75,55
ENSMUSG00000024764,649,650,794
ENSMUSG00000024766,182,164,262
ENSMUSG00000024767,2692,2531,2805
ENSMUSG00000024769,2,0,0
ENSMUSG00000024770,12,8,10
ENSMUSG00000024772,18,41,15
ENSMUSG00000024773,39,55,59
ENSMUSG00000024774,1,0,0
ENSMUSG00000024776,219,271,277
ENSMUSG00000024777,20,34,9
ENSMUSG00000024778,883,609,828
ENSMUSG00000024780,290,248,326
ENSMUSG00000024781,38904,32142,39999
ENSMUSG00000024782,1126,931,1349
ENSMUSG00000024785,541,471,543
ENSMUSG00000024786,1,0,0
ENSMUSG00000024787,401,392,352
ENSMUSG00000024789,886,565,1063
ENSMUSG00000024790,175,211,168
ENSMUSG00000024791,31,41,41
ENSMUSG00000024792,475,459,443
ENSMUSG00000024795,67,61,61
ENSMUSG00000024797,840,853,740
ENSMUSG00000024799,133,112,120
ENSMUSG00000024800,350,385,477
ENSMUSG00000024805,497,407,520
ENSMUSG00000024807,712,721,779
ENSMUSG00000024811,1739,1381,2129
ENSMUSG00000024812,502,389,400
ENSMUSG00000024816,1310,1319,1446
ENSMUSG00000024817,1089,927,1260
ENSMUSG00000024818,813,852,889
ENSMUSG00000024824,35,42,63
ENSMUSG00000024826,1310,1291,1431
ENSMUSG00000024827,1,19,6
ENSMUSG00000024829,590,655,535
ENSMUSG00000024830,50,54,37
ENSMUSG00000024831,163,184,224
ENSMUSG00000024833,287,282,314
ENSMUSG00000024835,174,86,86
ENSMUSG00000024841,1190,1341,1043
ENSMUSG00000024843,775,522,647
ENSMUSG00000024844,1440,1696,1311
ENSMUSG00000024845,30,42,35
ENSMUSG00000024846,3,5,3
ENSMUSG00000024847,9,6,10
ENSMUSG00000024851,41,30,31
ENSMUSG00000024853,3456,3967,3362
ENSMUSG00000024854,34,14,56
ENSMUSG00000024855,928,874,1255
ENSMUSG00000024856,5,13,21
ENSMUSG00000024858,2884,2980,2982
ENSMUSG00000024862,64,74,67
ENSMUSG00000024866,18,12,15
ENSMUSG00000024867,0,15,2
ENSMUSG00000024869,158,200,146
ENSMUSG00000024870,4603,4515,4677
ENSMUSG00000024871,0,6,0
ENSMUSG00000024873,1,11,4
ENSMUSG00000024875,1607,1617,1507
ENSMUSG00000024878,126,82,96
ENSMUSG00000024883,9,11,11
ENSMUSG00000024885,1647,1822,1579
ENSMUSG00000024887,71,39,33
ENSMUSG00000024889,839,926,691
ENSMUSG00000024891,21,21,33
ENSMUSG00000024892,39,51,36
ENSMUSG00000024896,772,680,774
ENSMUSG00000024897,276,196,245
ENSMUSG00000024899,220,142,157
ENSMUSG00000024900,1667,1288,1773
ENSMUSG00000024901,127,113,120
ENSMUSG00000024902,734,857,657
ENSMUSG00000024905,79,51,80
ENSMUSG00000024906,151,168,142
ENSMUSG00000024907,6,4,4
ENSMUSG00000024908,1226,919,1282
ENSMUSG00000024909,125,131,122
ENSMUSG00000024910,2,2,4
ENSMUSG00000024911,1229,1172,1140
ENSMUSG00000024912,87,57,63
ENSMUSG00000024913,100,141,60
ENSMUSG00000024914,1409,1582,1156
ENSMUSG00000024921,548,473,518
ENSMUSG00000024922,15,21,9
ENSMUSG00000024924,28,10,3
ENSMUSG00000024925,411,532,463
ENSMUSG00000024926,681,653,655
ENSMUSG00000024927,5365,5106,5717
ENSMUSG00000024935,3,0,0
ENSMUSG00000024936,1,0,4
ENSMUSG00000024937,1802,1961,1612
ENSMUSG00000024939,1,0,1
ENSMUSG00000024940,853,806,782
ENSMUSG00000024941,1030,1056,991
ENSMUSG00000024942,380,370,452
ENSMUSG00000024943,600,414,537
ENSMUSG00000024944,627,665,487
ENSMUSG00000024947,8,14,17
ENSMUSG00000024948,13,11,13
ENSMUSG00000024949,42,36,40
ENSMUSG00000024952,1851,1849,1883
ENSMUSG00000024953,11558,12161,10116
ENSMUSG00000024955,336,426,293
ENSMUSG00000024958,290,332,250
ENSMUSG00000024959,778,932,672
ENSMUSG00000024960,410,303,393
ENSMUSG00000024962,510,562,512
ENSMUSG00000024963,355,397,299
ENSMUSG00000024965,5258,5229,5180
ENSMUSG00000024966,1628,1396,1783
ENSMUSG00000024968,5,11,2
ENSMUSG00000024969,1110,1098,1213
ENSMUSG00000024970,375,356,360
ENSMUSG00000024974,664,579,764
ENSMUSG00000024975,181,192,216
ENSMUSG00000024976,996,799,1213
ENSMUSG00000024978,101,39,137
ENSMUSG00000024981,1835,1717,1784
ENSMUSG00000024982,963,896,1096
ENSMUSG00000024983,522,591,633
ENSMUSG00000024985,545,525,519
ENSMUSG00000024986,923,815,970
ENSMUSG00000024987,0,0,2
ENSMUSG00000024989,41,30,20
ENSMUSG00000024991,6196,5246,5450
ENSMUSG00000024992,0,0,1
ENSMUSG00000024993,1252,901,1537
ENSMUSG00000024997,1063,1027,1124
ENSMUSG00000024999,160,123,150
ENSMUSG00000025001,59,55,60
ENSMUSG00000025006,3,0,3
ENSMUSG00000025007,50,86,75
ENSMUSG00000025008,273,268,357
ENSMUSG00000025010,86,55,110
ENSMUSG00000025014,0,0,1
ENSMUSG00000025016,6265,4148,7424
ENSMUSG00000025017,4031,3136,5350
ENSMUSG00000025019,381,362,398
ENSMUSG00000025020,59,13,30
ENSMUSG00000025024,777,690,667
ENSMUSG00000025025,472,522,672
ENSMUSG00000025026,246,207,308
ENSMUSG00000025027,1595,1462,1726
ENSMUSG00000025034,1517,1466,1570
ENSMUSG00000025035,233,283,253
ENSMUSG00000025036,220,188,165
ENSMUSG00000025037,122,140,96
ENSMUSG00000025040,747,679,1014
ENSMUSG00000025041,1826,1646,1828
ENSMUSG00000025044,3642,2881,4102
ENSMUSG00000025047,301,380,290
ENSMUSG00000025049,283,293,287
ENSMUSG00000025050,96,107,125
ENSMUSG00000025058,1011,711,1161
ENSMUSG00000025059,467,296,720
ENSMUSG00000025060,2483,2116,2439
ENSMUSG00000025064,0,2,0
ENSMUSG00000025066,2245,1861,2511
ENSMUSG00000025068,5242,5055,5086
ENSMUSG00000025069,10,2,11
ENSMUSG00000025075,2,3,1
ENSMUSG00000025076,288,216,208
ENSMUSG00000025077,131,151,173
ENSMUSG00000025078,334,318,359
ENSMUSG00000025085,0,3,0
ENSMUSG00000025086,133,142,149
ENSMUSG00000025089,0,1,0
ENSMUSG00000025092,0,2,0
ENSMUSG00000025094,107,63,91
ENSMUSG00000025102,187,232,179
ENSMUSG00000025103,1130,919,1280
ENSMUSG00000025104,800,574,954
ENSMUSG00000025127,1,3,0
ENSMUSG00000025129,2,1,3
ENSMUSG00000025130,10862,9417,10794
ENSMUSG00000025132,25237,26247,23160
ENSMUSG00000025133,421,390,483
ENSMUSG00000025134,1544,1430,1353
ENSMUSG00000025135,1523,1710,1386
ENSMUSG00000025137,931,887,977
ENSMUSG00000025138,1147,1273,1084
ENSMUSG00000025139,2779,2493,3197
ENSMUSG00000025140,13,8,7
ENSMUSG00000025141,11,21,13
ENSMUSG00000025142,1073,1228,1067
ENSMUSG00000025144,925,1096,876
ENSMUSG00000025145,241,225,203
ENSMUSG00000025147,2121,2080,1930
ENSMUSG00000025150,403,446,347
ENSMUSG00000025151,1502,1610,1766
ENSMUSG00000025153,873,873,683
