Identifier,h_jkdz1,h_jkdz2,h_jkdz3,h_jkdz4,h_jkdz5,h_jkdz6,h_jkdz7,h_jkdz8,h_jkdz9,h_jkdz10,h_jkdz11,h_jkdz12,h_jkdz13,h_jkdz14,h_jkdz15,h_jkdz16,h_jkdz17,h_jkdz18,h_jkdz19,h_jkdz20,h_jkdz21,h_jkdz22,h_jkdz23,h_jkdz24,h_jkdz25,nc_jbdz11,nc_jbdz12,nc_jbdz13,nc_jbdz14,nc_jbdz15,nc_jbdz16,nc_jbdz17,nc_jbdz18,nc_jbdz19,nc_jbdz110,nc_jbdz111,nc_jbdz112,nc_jbdz113,nc_jbdz114,nc_jbdz115,nc_jbdz116,nc_jbdz117,nc_jbdz118,nc_jbdz119,nc_jbdz120,nc_jbdz121,nc_jbdz122,nc_jbdz123,nc_jbdz124,nc_jbdz125,ns_PT1,ns_PT2,ns_PT3,ns_PT4,ns_PT5,ns_PT6,ns_PT7,ns_PT8,ns_PT9,ns_PT10,ns_PT11,ns_PT12,ns_PT13,ns_PT14,ns_PT15,ns_PT16,ns_PT17,ns_PT18,ns_PT19,ns_PT20,ns_PT21,ns_PT22,ns_PT23,ns_PT24,ns_PT25,s_ZX1,s_ZX2,s_ZX3,s_ZX4,s_ZX5,s_ZX6,s_ZX7,s_ZX8,s_ZX9,s_ZX10,s_ZX11,s_ZX12,s_ZX13,s_ZX14,s_ZX15,s_ZX16,s_ZX17,s_ZX18,s_ZX19,s_ZX20,s_ZX21
group,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe
C21482,19413052,6381811.5,9748316,5326872.5,19980716,3580375.25,8256121,8079381.5,15596586,15203632,15382110,8561787,6922849.5,5089284.5,9754616,3372292,11428572,24631418,14628725,18936692,12901324,20832510,8868559,4558382.5,2980807,29728152,12492612,905705.75,5189604,4662375.5,,3475288.75,3659273.75,35212912,5516518,1437463.375,22688614,3196695,13888206,10335370,10835616,3476459.75,5978268.5,10038976,22621470,2787273,1615767.25,4821555,2532934.75,3692158,7408381.5,706789.3125,4944717.5,2131252.25,3247616.25,1862274.875,2796700.5,5698516.5,2747094,3799650,2631187.75,3763189,1770158.375,2520697.75,3850820.5,2910353.75,523655.8125,6545022.5,3882510.75,2765710.75,2033875,3317814,3547491,2552621.25,8123083,,3550283.25,2172733,3087407.75,1838198.875,1246176.625,2709312.75,1682194.25,1440095.5,1940500,1841048.5,1904348.625,3226016,737814.6875,2817697.5,3329101.25,3206752.75,1466173.875,2779300.75,2117667.5,2184310.5
C18218,2711915.25,2056393.125,1445593.625,2038764.625,2536995.75,2638197.75,2285756.75,1973140.25,2015425.375,2290841.5,1595559.25,2613526,2243057.5,3020773,1504037.25,2014572.625,2140277,2408541.5,3130740.25,2832279.25,2142064.75,1694044.25,1373866.75,2487788.25,2775336.75,4029498.5,7193157,1653247.75,3730117,2587254.75,5436452,1833060.375,3044769.25,3262892.5,3377052.75,963143.375,4355100.5,1788589.75,3235392,2668928.25,2959186.25,2122689.25,3382826.25,2331696.75,3741646.5,2756640,1193611.875,6302680.5,4577037,1578804,2179885.5,2217867,1532826.625,1534605.125,2131950.5,1896915.5,2422517.25,2240370,2522605.25,1353674.5,2346413.75,1865198.625,2102303.75,2383655,2067908.625,2696275.5,1462221.875,2032166.875,1993033.125,2206507.25,2624243,2251729.75,4277499.5,1677461.625,2191765.25,1709633.75,3044648,4767304,3296683.75,1296772,1609001,1343141.5,3154948.5,2167846.5,2215179.75,3936215.5,1409720.125,1413306.625,3218834.25,1602130.875,1317877.875,2930312.75,1168093.75,2946776.25,1417311,1474165.625
C05127,87727.25,,92387.0625,,159787.9375,,,,90551.3047,121411.4141,114883,,,148926.9375,108867.0625,162842.9688,172274.1406,110763.9844,,,,86967.1016,97204.8828,,134994.2969,55558.5234,,737338.25,,,,,,,382800.4063,447236.3438,,,,,,72638.3359,,,,126087.5,130329.7031,,63805.0156,,,,,,,,,,,146045.4063,131435.1719,,54530.2539,,126087.5,,,,,,,,,,,,,,375626.6875,,,,,,,,,,,,,,,138278.7813,,
C01152,58832828,58439344,55521328,45162136,54789520,39412592,29878764,67517264,46660312,91185240,54428164,50900124,45961476,46584384,44793192,50484920,49698760,52607356,46590096,45156712,86410192,42237988,78348400,85787848,53646032,54038776,55442916,581911680,63040568,60268820,44707448,37598936,28354576,56604036,105931272,75041656,22650684,37429512,44001312,47833048,80718240,58082448,38767700,53079220,60253772,82740768,106229968,37486384,45597960,30985554,33972912,55075860,35038124,47876900,36834464,13736294,15993807,50421888,53842892,49771780,33547958,24126178,39478684,26023212,48136404,42896220,15844550,52670512,46123972,28901148,22990472,15966365,41267688,36175020,22828518,29055914,38341448,44639564,167595312,21334626,34071448,45592532,38290620,40633580,25898102,53527376,28813136,31643576,25387666,33076038,39156984,24400592,25933746,64138676,40205884,49044876
C02918,,181554.9063,224039.1563,160939.6563,320619.4063,717655.6875,326818.2188,513580.9688,273458.2188,,475323.125,529731.3125,146630.9063,388174,411500.2813,327739.2188,307592.125,235321.6406,772060.1875,388174,467156.9688,421440.0313,181832.9688,346283.7188,475317.6875,172820.3125,574610.125,4840255.5,1111318.75,238514.5313,273708.2813,1810573.25,1572460.375,172990.1094,415568.9063,,436198.3125,,641748.125,133447.5938,230181.0313,1075484.875,194214.2344,359870.0625,,1584097.375,1078525.875,55964.4414,394705.8125,994802,,,388174,,660755.0625,740505.875,,339007.0938,,90911.3984,,297106.7813,,,67585.125,,1643862.875,182789.25,403999.4688,92063.6094,,996770.5,111804.8906,94651.2031,1387366,,,,211091.375,86413.8438,3985010,416728.125,,,452280.9688,,333724.5,,434715.2188,35321.1797,,655827.25,835970.5625,4034380.75,283935.7813,80621.6016
C16358,586823.9375,94679.0547,150204.5781,1264736.125,,245197.1875,748496.0625,,208015.625,,240326.0313,73851.0547,,768832.5,1042243,,,161674,858473.1875,318104.5625,1336654.375,79228.9766,372055.1563,,180632.1719,,,272736.125,,67548.8125,115024.5625,,181097.5,154179.375,1277418.25,58116.0859,436911.875,,62463.9258,,,133206.9063,319256.6875,391683.6563,,,156489.4531,,659455.3125,,,63139.5547,,,,215074.0938,,,,46057,,,343594.25,,128773.7109,,406146.4375,,,,305558.4375,,,,104639.2656,188031.4219,,,138136.9531,,90673.0859,,,,,,,,55402.2109,128992.8594,,,136906.9219,,101423.2266,181097.5
C00956,171657.2344,241771.5,214445.8281,160932,381430.7813,235188.3438,207352.9531,204405.0781,56043.0547,655249.3125,194074.25,571410.625,383360.625,342771.1875,,,417416.4375,241771.5,138373.7969,,397823.125,,,187095.1719,,,116614.3125,1072427.375,274607.25,234854.3906,172911.9531,308286.625,262839.1563,386414.7188,110720.2031,,66860.7656,591859.25,,224037.875,291910.2813,97546.5391,348209.0625,279292.0938,157861.9844,342318.2188,,,197832.6406,,250381.75,267081.8125,327629.9063,141113.2031,238530.6875,38495.1797,241765.6406,225071.4375,254973.9531,225093.4844,191771.0625,258449.5,169624.625,,,,,,,,,,,,205867.0469,283097.4063,307788.625,346415.625,671610.3125,168217.2344,319378.9688,319888.6563,,,,419112.5625,340322.4688,,202935.0625,,140225.1563,,,375507.125,,
C02261,96059272,74857512,82231624,82819840,102455296,107895032,70304368,107020408,96498208,92721800,105116816,72420192,66488752,106700640,94505936,86965640,60726352,68777192,126916000,90598256,87174816,109508920,135624272,111468400,87659016,112591008,96431616,55912780,165566336,284252032,272367008,151083824,149208416,95008072,61953708,47972860,110181672,256079856,111078672,133566944,88193968,108940160,107372016,196346480,352355648,79681720,298724320,97705656,69049328,103650072,65496024,62438532,90301752,64378460,162559472,101579776,54103044,89128632,88367144,65860324,152040048,90063296,84048552,69066376,53432764,94208408,76305520,59293908,110271032,97688216,62568556,105456528,69643088,86616256,149676240,91232616,76098968,52223112,85375024,59957616,,75625928,87279624,131084912,72030248,132178096,64434688,80289840,83043360,60215580,134368752,81759000,62318452,73216968,73064896,72935472
C01344,,,,,,,34745.1055,,,21793.6172,,184084.8906,45194.6289,,,19975.7207,50972.6094,201803.5469,84188.5859,65471.8242,,171623.9063,30963.5605,167745.9844,86171.8672,133831.0313,91419.3828,,,80685,,,49143.2109,91905.9297,23935.6348,,,45336.4336,75329.9531,122389.1563,162731.6563,,57145.668,,57610.2461,,,31434.5488,47895.6875,67314.125,23640.625,,27297.2598,134585.375,,,,38425.6445,,180460.5469,43664.7383,44108.6484,,,49960.4414,86040.0469,,77181.4141,,177760.6563,,,,153267.0469,42932.6797,,,,,174973.0313,,109547.6172,,,389020.0938,,87593.7188,175934.2969,,202875.8281,23366.8516,118613.5391,38246.2734,204073.0469,164594.2969,137713.7188
C00365,211567.3906,323911.5,299902.5625,185445.2344,241230.0313,224679.3594,178357.6094,247996.7969,259461.4688,377149.75,263215.6875,291027.1563,211490.6406,188257.8594,212323.5938,212531.0469,186699.9375,237850.2969,194435.6094,324132.7813,155137.2344,181075.1719,178245.2188,200721.125,273371.0938,266599.8438,,,324434.8438,225381.9219,499381.375,27228.5645,23332.9219,211959.7656,129536.0625,111795.7969,130491.3672,237157.4219,276208.125,58370.7461,287882.5,159284.7188,111371.7969,226325.9219,332255.2813,157014,287589.4063,178330.3594,118790.9688,209258.2344,66233.6797,171214.6719,105845.1016,157014,164236.5938,31313.4023,47060.8281,56623.4648,79279.2656,148028.4375,102389.5,186152.5625,137837.0469,109961.7656,75526.9766,149543.3125,,121122.125,48561.0117,174668.4219,34331.6016,37787.1563,79766.5156,147759.7031,79503.6875,43862.2188,90079.9688,,103625.6563,100553.1797,109569.25,126229.4609,132894.5313,98600.1719,251243.4688,,149420.9844,154743.2813,103225.6563,147401.5625,,94860.2734,,,115005.9531,60472.2227
C02360,780180.1875,1198067.75,1688446.625,481740.9063,,601385.6875,592609.5,1134059.125,506524.8125,669386.0625,,1114017.875,2468514.25,1871867,476543.4375,680369.8125,447950.2188,497225.4688,635250.125,570471.75,1623138.5,860051.3125,338548.375,1598202.25,552594.75,821195.75,1652394.375,5630261,952496,650378.375,613927.1875,1063069.25,936434.1875,579477.5625,1892131.875,1744812.125,787578.0625,2185225.5,,1157274.125,801657.0625,1810297.75,1347396.25,4369910.5,1015210.063,1118112.125,8008117,1144488.5,730972.625,1942219.25,543364,612240.125,408673.7188,,231126.75,1023640.125,,1058747.875,815184.25,864453.3125,1569335.875,818190,280046.2813,515195.625,866588.0625,797830.625,546019.75,1046028.188,1384247.625,354107.625,559726.5625,456425.5313,680028.125,,534005.625,397579.25,1008918.5,674664.3125,897008.9375,408325.0625,,825113.1875,608235.0625,911238.6875,609324.125,1835791.25,,780234.9375,1055955.875,1621229.125,1779544.25,361293.4688,,2542087.75,776328.6875,465134.1875
C01087,317744.5938,561471.25,262153.1875,234346.6563,160780.6719,223797.3438,162700.875,190843.9063,155857,312547,411998.9688,186265,234217,278016,185297,151887,191275.6094,201314.7344,201469.5,163324.7969,314477.8438,274838.5,290388.9063,216662.4844,224808.6094,379327.5313,369876.4375,,236070.4844,161233.5938,135460.7188,310798.875,195313.875,304591,205114.9844,287450,503699,129784,220521,304765,388201,175962,301631.1563,205892.5,252231.2344,321179.25,583071.25,126097.6484,216910.0781,122665.0781,148892.3281,296292.6875,116005.0156,166200.8594,153985.9219,,117742.6719,271140.5,190700.8281,306294,157915,196971,149082,309568,167228,160720,,276923.2188,343476,79752.9141,129073.9531,178498.8125,245460.9375,115615.2266,142650.4844,225387.9688,302860.5,197172.9063,105478.3906,157943.7656,285177.9688,210189.0938,198792,203681,147282,123806.0078,207454,186270,316796,145435.0781,222765.8281,183054.6094,68799.2344,1285803.25,183480.9219,144964.8281
C05852,727155.1875,758481.3125,,425041.6563,1041482.5,,923503.375,1600016.125,596824.6875,783593.4375,442260.5938,1303407.125,954550.5625,615157.3125,829621.125,525834.0625,931051.9375,800914.5625,715685.5625,628342.875,1136013.5,708016.5,576476.4375,880923.8125,1722709.75,483751.25,483433.9688,3395227.75,475389.5938,726054,274464.4063,482082.9063,,737674.9375,996282.0625,2802880.75,1070931.25,600196.6875,472170.0625,714433,800277.0625,1485514.625,,773598.0625,,1277690.125,1524054.875,686689.25,622510.375,,894567.75,,808091.1875,599675.875,991078.5,,474693.25,,673708.9375,815073.1875,595022,494297.9688,401976.25,,1363910.5,856538.4375,439356.5,700151.125,525772.1875,520565.2813,,736422.4375,653322.1875,627311.125,538354.375,567517.0625,,674699.625,6627500.5,,993634.0625,,406486.7188,576085.75,822068.625,,770368.625,379454.7188,286259.8125,891531.6875,757817.875,557489.9375,1036526.938,5719669.5,237626.4844,1387160.25
C03042,6732666.5,7033244.5,4198586.5,16850340,27165476,27414940,19906770,23634326,39960368,42110432,25836932,13618343,8737712,7843769.5,10768983,6674132,7944001.5,39531580,28262964,50181512,54407244,25578910,7012490,8615434,7215565.5,4708372,7966003,6207205,8195793,5761534,12144288,10692176,25126566,15930109,9900848,5122368,10515068,7819716.5,8273570,7873194,8380064,13349321,4168126,39302356,12730201,11437703,4948491.5,9630883,7590156.5,6626829.5,14241213,17629070,7883052.5,7928762,7494430.5,9081272,8955453,3492368.5,6204367,6130071,5162261,6660182,4180565.5,14904374,6661189,8281924.5,17573552,19492972,6159534.5,8393261,5529890,2935825.75,8377333,5957784,4270156.5,9703830,3826767,12127336,6558107,6289621,8031275,5291765,4118322.5,5706649,7165832.5,3809292.25,6677873,5535810,8124084,35297312,4884724,10791609,3976128,8053276,6197733.5,2998157.25
C02504,1091995,2259696.5,1421059.5,2318241.75,1276534.5,268316.125,1519079.875,620245.6875,789315.1875,677932.625,2386652.5,881892.375,2076789.125,2216501.5,3115977.25,521123.5938,699639.125,885779.375,336309.1875,1299849.625,6211995,1469204.25,2339976,826942.3125,1022248.063,639808.875,397020.0313,,1043693.375,976499.75,418968.4688,862692.6875,2428169.25,664101.4375,2854169,1288843.25,2999086.25,3613916.75,2471117,939370.625,283776.5625,1237458.875,3185682.75,3744968,696716.75,2800120.5,4538623,1243811.625,3092406.25,1214877.125,435389.2188,965346,1473787.875,253934,293908.3125,1683123.125,1764072.5,572587.5625,876361.5625,399390.375,327930.9063,287800.25,316789.8438,303308.3438,426540.4063,616852.0625,975727.5,774409.0625,614162.75,236335.1719,212776.9063,282446.4688,651710.25,410142.5625,249630.1563,414894.0625,950559.0625,815489.0625,323475.625,355484.4688,,944901.4375,483032.3125,1318070,571771.5,1034638,2577407.25,2487535.75,435885.4688,409045.6563,406216.625,974017.875,431078.8438,5565433.5,935483.625,1188613.375
C11118,6219135,4169490.25,6452454,5640314,4750836.5,5114730,6324042,6245796,4970325,5440141.5,7889502.5,7272466.5,4044768,4945479,3911263.25,4951676,5154728.5,6059526.5,7313481.5,10231423,9166855,10100351,7187599.5,6289058.5,6689684,2791286,5917950.5,24452646,4077844.75,3847734.25,4656303,2908645,5292715,4800022,4828287,2789859.75,2628039.5,4166253,4991346,4913157.5,5220693,4885577,9452287,58550832,4118655.5,5907240,3388654.25,3309156.75,3038899.25,2539575.25,1152177.5,2137997.75,3032741.5,,2007693.625,,1240324.875,4630889,3150779,3506704.25,2729460.5,2893169.5,2526777.5,2939715.5,2646699.25,3316101.25,,4630914.5,4485559,3215585.25,2752267,3581826.25,4003565.75,2630725.5,3862409.5,2416830.25,4163016,3464202.25,11816298,452078.9688,11596758,2794408.5,2302793.5,3658683.25,5477885.5,5007635,4732708,2792124.5,2435136.75,2600833.25,1786952.875,3600120.25,1152028.5,3820255.5,4213850.5,4505730.5
C01205,1565031.625,24489164,7783591,8087778,4161532.75,2697183.25,8294719,19358070,7581929.5,9401736,2735130.75,4862238.5,16389781,4512263,13351607,6299278.5,2929130.25,3535965.5,4389846.5,8966357,3889646.5,22229676,1688280.875,10348206,757610.375,2753643.5,14370258,174980512,8080320.5,5864450.5,17189688,34620380,16845882,5641549.5,10847544,44412592,9335391,13454213,7396873,14954062,14574024,41439588,11783686,8018919.5,28070380,6959883.5,109282080,2316180,8578030,8715062,2379791.25,2800956.75,2651365.5,7195211.5,6669849.5,16843054,2734880,9526096,2473522.25,9808399,2664536,11031933,2963637,13653073,7852313,3377664.25,2009848.375,5167797,1786673.375,1356947.75,2097600.25,4464251,11302243,16879838,21033038,2248335.75,9943074,5566656,18100040,2010422.625,6487745.5,13785846,7065036,3427920.25,2886746.25,5271522,2028552.625,5032873.5,14637835,3847622,5510108.5,9195981,670227.1875,10191225,14065411,13838311
C17335,1846083.125,793498.4375,1016532.563,1319554,2635486.75,3134549.25,1522408.75,2279443.25,2138554.25,3530767.25,2350525,1436313.375,902604.875,2594126,1609098.375,1574815.875,1268462.125,1939767.25,1300608.75,2576506.75,1923056.25,2071363,1542516.25,1337346.75,1920090.375,1070359,1245571.375,1013196.75,3525623,1161726.5,5932999.5,2622250.5,1405679.25,2761134.75,2803880,1988258.625,1274700.25,1543159.375,1494574.75,2523755.5,1823628.875,1097210.625,1924548.875,1276212.625,2217439.5,1705411.875,1510158.75,2878947.75,1539620.125,2074084.75,1788962.625,677193,2470954.25,530601.3125,2655067.25,1705348.125,1171195.375,1618154.5,2417445.75,872798,1693418,1871301,1556418.25,347927.5,2371585.75,705726.625,1344203.375,617313.75,744750.125,1815488,1942688.375,827291.75,643959.875,1432461,1518867,1515325.25,776248.4375,686468.5,2335298,651556.5625,1640993.625,233397.6563,1417424.125,376071.875,672856.8125,548400.125,242251.3438,468556.25,1249054.25,1585906.625,1061251.5,929658.9375,395314.7813,882081,1008092.125,
C17333,888562.875,332907.0938,258844.25,762308.8125,2371626.5,2794053.25,1784802.375,1532179.25,2713090,4650417,2243791,1066733.125,789450.625,1609501.875,1084293.375,790984.5,936417.25,5496220.5,2114829.5,3328859.25,3602201.5,1787759.625,717615.5,850330.5,1054308.375,587826.3125,649017.75,883572.9375,1268278.375,511165.1875,1626985.25,778091.875,1388778.25,2736409.5,1917156.25,1826542.625,551607.875,664135.875,880683.3125,1316154.125,1305856,310513.5313,1049713.5,5720829.5,2187307.25,1765083.625,712898,4030228.25,960793.9375,1180332,1272630.875,,1156816.375,,1634850.75,1274745.375,1206742.125,457993.4688,1522078.875,,1032694,730165.6875,958877.6875,,1566061.5,139870.0469,1803448.75,,,657479.625,1160167,,207340.3594,664864.625,836926.75,1049713.5,,,856169,181507.2969,696439.25,,943780.0625,,252179.3438,,,,316030.0938,379367.3438,325334.0938,105891.1953,,,,
C03761,2855761.75,3975086.75,2482040.25,1846616.5,4685640.5,2354142.25,1879293.625,3790516.25,2814416,4184179.5,2846534.25,3859212.75,3009507.25,2456197.5,3442327.25,2741303.75,2657464.25,4203158.5,2907001.5,5265863,3490469,3301559.5,3112440.25,5940875,2565548.5,3079853.75,4402421.5,24515728,3350876.25,3482269,3247306.5,2461873.25,6136535.5,4855738,4294190.5,2857956.75,4372566,5972555,2155595.75,2194699.5,2826377.75,2966576.25,3049584.25,2534925.25,2537475.5,3129624.75,7079426.5,3077849,2755806.75,2655666.5,1945463.5,2612391,3894639,1576414.875,2434881,1730381.375,1606687.5,3511078.5,2817150.25,2010262.875,2559384.75,1562837.75,2489251.5,2024074.875,3335608.75,3140484,1165433.875,4025811.25,1958330.5,1806239.375,1472199.75,1937826.375,3483658.75,2153469.5,2928194.5,2805558,3249573.75,1587753.125,8452335,943132.5,2702556.5,3351332.5,1856662.875,1953639.25,2114827,3632390.5,4114467,1943610.375,3258056,1928327.25,2765910.25,2143146,1573437.5,22566310,3975975.5,2159315.5
C03864,549671.5,399330.8438,217701.0313,196437.3281,620136.25,681806,276366.2813,450193.6875,560768,346680.6875,555670.5625,406994.1875,352869.9688,422411.4375,864478,608861.8125,245109.5469,360385.1563,693544.3125,625818.8125,330889,415084.0938,736775.8125,348301.625,284419.125,420347.9688,1420189.375,1201581.375,920441,864556.625,1727764.25,681379,1266960.875,711494.875,1024008.563,209786.0313,3203729.25,1501614.125,724641.125,675450,485606.5625,2730937.5,980546.8125,607516.8125,643176.5,423801.25,957576.5,1582800.75,902722.125,478156.125,625001.375,441787.5625,765731.125,348031.4063,597256.75,1150448.875,203814.5781,856751.5,473324.25,608531.1875,664598.5625,323855.5625,654784.75,952660.875,1343287.375,1115065.625,332323.1563,565422.6875,926669.75,332393.2813,692775,609876.125,619427.8125,374104.4688,751176.375,555904.0625,3299235.5,417434.5313,1099105.25,281143,963623.4375,367923.25,774286.875,540543.5,735441.25,434414.4688,474877.2188,200895.125,600526.4375,361332.7813,1614182,1124241.875,542361,2630558.75,513914.125,401175.0313
C01188,3612421.25,4691647,3734260,3775199.25,6332532.5,5656022,3283423.75,4040464.75,5427495,7270898.5,5288722.5,9915459,4119180.75,4445650,3592672.75,3707216.25,2737431.75,3128118.5,7729356.5,5375190.5,6950734.5,5124164.5,5669280,3019411.75,3556022.5,5427723,8284840,27021874,9850059,10302968,8189985,11032997,3868693.75,10445792,5264737,5617876.5,8190844.5,20844886,4473208.5,9186202,6649221,,9432029,7292547.5,8272701.5,5256781.5,16067550,,8098537.5,6034691,4322211.5,2725452.5,8025716.5,2806771,14335139,5682538,5156843.5,8488402,4302040,4951779.5,12151366,5447018.5,5161339.5,3677005.25,4966603,8831686,5669280,2011118.625,3684575.25,4457468,3929667,3124214,2705149,3902967.75,7378491.5,13401274,16931208,4200904,7012963.5,3521923.25,21748848,7986108,2037643,8647431,6068552,10507625,6071015.5,5676832.5,6904154,5931207,15854702,6369832,7008284,16933386,7730294.5,3491362.75
C11549,848846.9375,855498.6875,493514.9063,554276.375,1170144.25,2169138,773900.875,1094260.375,1332772.125,1014414.875,1422714.5,570622.4375,986173.0625,1053761,1904395.875,971387.25,788426.9375,863917.8125,1311048.5,2544979.75,668605.0625,902489.25,1576144.875,819133.875,626187.125,957582.3125,2110983,2128872.75,1273030.125,733179.125,2343207.25,632246.25,1966550.875,942011.5625,1092900.75,339454.3125,3089326.25,6995865.5,871069.375,726292.75,730863.75,1382767.375,1327729.5,837291.5625,1403344.5,910591.75,1219318,2653530.75,1560280.375,771841.8125,1021935.438,566148.3125,724203.625,459318.4375,755485.0625,1103459.875,495827.5625,1065543.375,1097074,593870.25,488540.375,503354.5,534084.0625,703922.125,2272772.75,944734.875,753139.375,542693.5625,919412.1875,723276.625,1221611,723097.5,991550.375,772125.9375,982196.4375,659774.1875,3799891,567115,1697446.625,569250.1875,1180807,567406.9375,1097397.75,479858.125,1100165.625,542927.9375,502661.7188,320788,647145.9375,785909.9375,1217036.375,1263045,857985.5,2617363.5,710014.6875,512536.875
C01152,1155757.75,603590.625,1196295.125,595731.125,775109,,113513.1641,279120.5,430767.5625,731453.125,167577.625,279120.5,207569.3125,175552.0938,1074513.125,293348.6875,189361.5625,929757.1875,1045359.5,1193144.25,123814.7578,195797.8438,1166551,254839.8438,263860.0625,,113023.6328,1247201,463005.5,,150811.3906,153329.1406,254362.4844,114796.7969,1160793,84031.0781,165316.4844,413375.8125,219736.1406,171050.4688,2225341.75,62230.3008,643689.8125,673176,,2945503.75,459260.1875,533148.6875,110509.6875,185662.0313,907315,254484.3281,,186284.125,155864.1406,147360.9531,230670.8594,2608411.25,199556.4688,3467496.75,,1072441.875,308094.2813,,457452.6875,88520.4375,495594.3125,,100455.8984,222296.75,,,193709.3281,883039.4375,,,807219.75,203349.8125,2465293.25,,,329560.625,,,84601.3359,,45863.457,,,120100.6172,,,410992.125,143203.3281,294380.9375,
C16357,242282.7188,,,910739.625,,,471043.2813,,81987.1016,,,,,390784,480901.375,212776.625,,1203682.75,255045.7031,89703.25,1013953.813,,416907.7188,,326126.6875,178874.5938,,,,,,,160564.75,141212.8125,2656052.25,,299435.1875,,,,,,276330,,,277042.6875,,,154761.4375,,,,,,,440209.5625,,,,,,,276330,559364.0625,,,470792.6875,,,,,,,124768.6406,,,310377.25,,,,229178.1563,,,,,142445.2656,145533.1875,,173658.8594,,,,,76401.6484,,
C02642,875685,1008247.188,1804621,911865.8125,814433.8125,703647.875,609871.25,1497662.125,1254975.625,1116167.25,1316368.625,1125823.375,655327.125,1081923.625,784255.5625,810670.4375,1033065.375,1656942.125,1015698.313,1050474.25,1165488.625,1343746,778604.6875,1084940,1087412.375,994904.5,8075663,3400099.5,3442432,1338190.25,9453296,2782772.5,1208680.875,1254610.75,1382928.125,2353398,2507831.25,628766.4375,1342026.75,3936303.75,1659539.125,1543282,1346508.875,1721543.25,1053693.75,2574579.5,3206281,1250319.75,2693029.5,1163396.125,999767.8125,2223743,1055073.25,474696.9375,959592.9375,359265.75,904264.0625,1036633.438,4005370.5,1444598.75,1113051,1445844.875,1385340.5,1672800.875,1291895.375,1226931.125,554815.5625,1918806,1458098,1066521.5,968780.1875,1296551.375,1213667.375,1623569.5,1198705.375,1853264,8007851,2003589.625,1825254.75,904460.5625,4207502.5,1510000.875,777225.375,975118.25,1318828.375,972405.0625,2364431.25,1094561.5,2842751.75,2039945.5,3065753,1762503.75,801698.375,3234845.75,2377405,1242880.5
C02946,284487.4688,412252.6563,200002.0313,231738.9219,163861.0625,201304.5,205027.1094,343181.375,252011.7969,183718.6875,291900.2813,359121.75,,,,269468.4375,332597.4688,384121.7813,208561.9688,168034.7813,255362.875,227003.1406,344681.7813,209888.8438,271433.1875,,634652.5625,2078885.625,322014.7188,517519.875,342800.0938,,627120.8125,170258.9375,1034464.688,415134.5938,441515.0625,498939.8125,298301.9063,,193476,406177.7813,437059.3125,288499.9688,,345404.0625,1100107,272666.0938,166399.1406,,,209456.3906,230502.2656,,,,141659.6406,,220667.5156,,,,,201732.0625,201873.6563,,,,,165478.2344,,222144.7969,303742.2188,152935.0781,,,,267221,1722359.625,,,166329.8906,,195575.0156,,195456.7344,264973.5625,642704,149259.9688,263008.8125,,,395146.9688,1295442.375,233314.6719,205243.1875
C02370,919738.8125,763430.0625,773264.5625,781299.125,804883.5625,1276781.625,708430.375,855487.375,971955.5625,756093.4375,1063109.625,947681.125,1120341.625,1071800.625,752535.6875,1162841.875,1145391.625,926433.375,1996827.875,1548591.875,884686.1875,1062770.375,1553932.75,912098.0625,1120490.75,1332511.75,4342102.5,2914555.25,2133844,438371.5,2578339.5,1390637.25,2464211.5,1042039.5,3247591.75,2235437,1139648.75,2915978.25,1120038.75,1235241.375,1460893.25,3332399.25,2478191.5,2173571,1129853.625,1723535.625,1464975.25,2374733,2092162.5,1170419.25,1673939.375,2533645,1138911.875,1929413.25,1674700.375,1388039.25,1557618.75,2612673.5,1814320.25,1990695.75,2430197,1550406.625,2278515,2463574.5,2930556,1944716.25,1148128.625,1859779.375,2006874.75,1685491.5,1568632.5,1899927.5,2575723.5,1359715.125,1721465,2262242.25,2103505.75,2991016.5,3675295.25,1535276.875,2636843.75,1127076,2194428.75,1397946,1983351.75,2477683.25,1884516.25,1681151.5,2048615.875,1662925.375,2091766.875,1732407.875,1548739.875,1670992.875,1249143,1415355.75
