Identifier,h_jkdz1,h_jkdz2,h_jkdz3,h_jkdz4,h_jkdz5,h_jkdz6,h_jkdz7,h_jkdz8,h_jkdz9,h_jkdz10,h_jkdz11,h_jkdz12,h_jkdz13,h_jkdz14,h_jkdz15,h_jkdz16,h_jkdz17,h_jkdz18,h_jkdz19,h_jkdz20,h_jkdz21,h_jkdz22,h_jkdz23,h_jkdz24,h_jkdz25,nc_jbdz11,nc_jbdz12,nc_jbdz13,nc_jbdz14,nc_jbdz15,nc_jbdz16,nc_jbdz17,nc_jbdz18,nc_jbdz19,nc_jbdz110,nc_jbdz111,nc_jbdz112,nc_jbdz113,nc_jbdz114,nc_jbdz115,nc_jbdz116,nc_jbdz117,nc_jbdz118,nc_jbdz119,nc_jbdz120,nc_jbdz121,nc_jbdz122,nc_jbdz123,nc_jbdz124,nc_jbdz125,ns_PT1,ns_PT2,ns_PT3,ns_PT4,ns_PT5,ns_PT6,ns_PT7,ns_PT8,ns_PT9,ns_PT10,ns_PT11,ns_PT12,ns_PT13,ns_PT14,ns_PT15,ns_PT16,ns_PT17,ns_PT18,ns_PT19,ns_PT20,ns_PT21,ns_PT22,ns_PT23,ns_PT24,ns_PT25,s_ZX1,s_ZX2,s_ZX3,s_ZX4,s_ZX5,s_ZX6,s_ZX7,s_ZX8,s_ZX9,s_ZX10,s_ZX11,s_ZX12,s_ZX13,s_ZX14,s_ZX15,s_ZX16,s_ZX17,s_ZX18,s_ZX19,s_ZX20,s_ZX21
group,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe
C00055,236312.9844,191761.5156,256637.8438,368483.4375,361304.6563,203242.4531,223218.0938,255608.6406,299956.3438,403007.625,249240.4375,278142.8125,301104.0938,204795.875,336997.25,217795.8438,182371.875,326199.3438,140707.8125,357771.2188,418506.2813,202782.1406,225971.375,128702.6172,65071.1563,429305.4375,687573.625,5600812.5,462858.3125,362396.3438,665640.9375,861788.5625,540799.75,401111.5938,904957.5625,1291758.25,823609.375,406560.3125,338916.0625,463988.3438,520952.9375,1704757.25,240163.9063,416593.25,440860.9063,1475587.25,2211419,153360.2344,701447.625,365929.7813,308051.625,355397.7813,551636.5625,192099.4688,645267.9375,307854,147690.3594,358879.6563,310692.7188,335117.7188,634537.3125,235338.3438,266035.625,424335.0313,328488.1875,384784.9688,214701.4688,430736.4688,277980.4375,146383.2031,144616.3125,409917.4375,126297.4531,134456.8906,350718,313579.5938,507189.5938,739735,898112.625,110029.9219,366332.875,706829.3125,305859.2188,465695.5313,426354.9375,300625.1875,610809.125,293904.8438,408313.9375,366116.2188,537136.4375,676713.8125,514809.5938,1740130.75,779001.8125,1008751.688
C00380,344981.4688,158707.2188,143133.5938,161978.4531,354033.4688,216822.0313,183213.4063,241614.25,232531.7031,290077.9375,556655.75,351525.9375,142695.9375,157415.9219,231589.2188,103010.2031,60725.6211,213121.9688,255666.6406,415875.5938,120052.3594,187243.875,297903.7813,446052.4688,438735,901250.6875,130172.5547,332372.1875,145802.0781,347623.625,78760.1875,94408.3438,1849545.5,866061.4375,373109.5938,373197.1875,488491.1875,139131.8125,78696.9063,248718.1719,263301.25,91337.9844,87210.9844,,,263854.5,554007.875,,779870.75,326081.125,3230024.75,210529.4531,821769.4375,228912.9219,3097201.25,2318098,523436.5313,1612239.25,3392471.25,973701.625,2285887.5,1050323.875,1305267.75,338975.875,2097417,1375568.125,1208726.5,216888.9375,2086854.25,285045.2188,2382717.5,297842.7188,176422.5781,1704684.875,2359656,3356016.5,4666760,1368809.125,7152546,1087194,2213138.5,983381.875,3481596,1627476.125,1433902.875,418940.1875,1263023.25,515860.7813,458529.7813,3085690,3836558.5,2911376.75,2387783.25,14623089,1421807.875,1127011.625
C02528,37644412,1594607.125,3661705.5,,,37283916,,24766026,11474718,5046243.5,6040438.5,,12464154,,,2521255.25,,13289964,11398974,17560024,,8137697.5,,8829539,8303263.5,,,242763.4531,,4345800,,,14604412,,4104825.25,4023363.75,,,16113077,30490488,3829537.75,,,3292990.25,4937989.5,6223470.5,,,,,8829539,,,,,,3900009.75,,23078908,17178166,2290233.5,12160790,,8829539,38033724,4710845,,9199858,14959631,62681412,4020512.5,6523805,7243070.5,11802570,,,,,,,,,,11986944,2919146.25,,,19752168,,,,14702346,,,,
C00337,459405.0938,826073.875,601794.3125,641162.125,361489.25,687366.5625,206756.4688,667771.625,493098.7813,483381.3438,479624.5938,373525.0938,632700.25,260927.4844,484638.4375,448580.0313,339148.5938,203718.625,467197.3438,531416.3125,388473.9688,379290.9375,310568.5625,313174.625,332182.4375,335665.5,275812.9375,,657577.125,256879.5313,868700.5,265719.1563,98456.4141,201765.8594,107714.4531,335665.5,766253.9375,101488.375,181870.1406,133907.5469,166960.5781,328987.8125,485193.3125,30392.2441,453895.2188,797989.6875,630201.5625,625123.9375,729019.1875,695745.25,,214157.2344,256006.5,267203.3438,365805.8125,725633,261085.2969,341192.5625,182225.4688,276448.4375,341918,291742.25,471754.5,496281.1563,234928.4688,437901.25,540096.125,124847.0234,143662.1094,317096.625,302077.8438,256912.1875,278885.0938,414724.5938,467954.9375,,165546.875,,409023.4375,,331545.375,179738.9531,285052.7188,362102.875,414211.8125,130950.9922,,258153.1406,297298.875,117390.6016,266099.5938,307401.9688,112809.2578,411374.0625,565748.125,312718.9688
C11142,,,,,,40276.5938,67264,,49747.4375,,,46653.4258,,,44236.5703,34432.4141,,,,153694.125,35140.8125,,41900.168,206692.0938,,,,111808.3125,17382.2207,172353.7813,172437.6719,16358.3115,436795.2813,,88033.9063,102605.0234,64288.4141,214989.4531,63012.6992,29090.5684,113277.9609,413426.9063,65145.8359,228595.7813,,423714.5625,136921.0625,104428.0859,,157953.1406,,,55810.7617,,,,,,,,,,,,,,,46822.4414,45698.1172,,102791.1094,,,22104.8379,,,,,191194.9063,,67180.1172,,,,70239.5938,,395687.4688,,,,,69382.1641,,41419.4922,33744.1758,61344.793
C01026,23052248,11841827,15690233,14637397,16479638,16481705,35115208,17531432,15456382,21401994,18215482,21287444,18182984,21562398,15546739,15939134,21184678,13265997,13680661,20959092,16889556,21331632,14291275,20848422,15209765,16895594,15295226,20959100,39464040,16583543,19805910,32144186,21706970,23153086,16546274,71023800,58918480,16585791,16630239,10003994,16415069,14347931,16071789,17841636,17454086,39039236,80278944,11486374,15307802,24515184,9061441,14654457,18347626,10653009,16251454,11083099,6826295,28948690,19516080,18322466,10725696,17157262,11343976,17159036,13669594,10836454,12999371,14381829,14500430,8746254,18218756,13546850,17720846,22556360,22001526,8515389,14507583,12993681,23246006,7624596,19262000,12201899,10176123,12420985,18545946,13114729,19133932,15387257,6792710.5,38562148,7941416.5,8754000,9204906,17355892,12098872,9360427
C13690,124812.5469,1465881.125,168463.5313,79864.4375,395986,298024.7188,92218.4688,634529.25,202909.7656,275412.5625,145188.9688,232602.9688,160951.0469,180561.9531,282403.875,176640.8594,109124.8047,669347.6875,114947.2734,314059.0938,117184.0703,167117.125,327354.3125,257906.7031,355415.4375,150321.9531,193500.4219,1954409.25,277205.4375,124826.3203,238915.0469,,87887.2891,144843.0313,213011.0469,604501.0625,502263.5,58813.7422,71609.4766,67411.0703,90096.7109,96882.9766,87249.1016,231991.9375,,319376.6875,361455.1875,45425.5508,,159304.0313,73526.0313,98099.8359,73653.4219,453190.875,,113189.2656,166976.2031,763424.1875,139710.0469,87411.2813,,46522.9453,60524.5352,251235.625,290450.2188,120984.0391,128949.0781,100998.9688,,130086.1875,44138.2227,128443.4453,96841.8594,165337.5,67871.4375,273625.6563,51385.5039,102264.0313,531781.4375,50671.0977,77629.125,115922.9453,,100803.1719,211835.8906,25494.8086,91947.5078,164783.625,29067.2402,126338.5156,,1007435.125,478435.8125,986940.9375,130727.9688,65345.7734
C04555,18136392,28547570,8319998,8345022.5,8216761.5,8984986,11750871,15553183,7463104,14381080,18385516,7060024,9337278,7113651.5,12162761,7034684,11650300,7504389,9764567,7421819,9026023,6671211,9433159,3014985.25,3323187,4188383,80065.7266,4866010.5,447866.6875,6591188.5,1609203,30142036,765450.9375,13970989,14506465,4388303.5,209598.8281,4010017.25,20410644,28806304,12003256,834663.75,19419898,22439958,19041844,23847356,917391.0625,10866521,9706013,4807344,5946316.5,4196687,16579248,2449319.5,18543890,5232723.5,1510304.875,11078038,6204394.5,10878774,4210985,3927408.75,11395344,1986625,8929435,5805098.5,5427953.5,6128916,10157310,8279084.5,1300085,12576364,3257806.25,5470294,146130.2344,8220146,4761657,7646606.5,25937782,4074247.5,9643236,7279601.5,11023094,7151270,8222868,6481736,9736978,737847.625,,4455943.5,2772071.5,9169163,3009308.75,2098591.75,6845945,7991663
C05570,128836.1406,395660.4375,,209765.1875,144355,52127.9844,,163256.7031,122212.1953,231181.5781,22684.9707,206012.8906,262391.0313,59849.1289,66441.2344,159097.9531,34898.1133,172978.4531,64553.5547,45127.1289,315123.25,,83983.1172,261298.8438,203732.9063,236175.5625,,,144501.4063,427515.4375,,177502.625,68059.8594,,45684.9844,,111539.1797,869035.875,158337.7969,555655.4375,243957.3281,64103.1328,159497.0625,803443.625,3479162.25,17195.4688,,129212.9375,,70899.9531,,,111743.875,,41497.6211,989317.125,,70486.6328,47649.2227,,,132203.8438,,,110599.5469,59648.5664,1997411.375,,65444.0586,68116.3438,,,99245.5078,188576.3438,701868.4375,118952.0547,128284.3594,95915.7891,,,226572.2813,1370886.75,43332.2344,237272.7188,156506.1719,,1280222.75,41014.2852,,43876.0391,33142.9805,834572,610259.5625,523565,1051289.375,99125.5703
C00503,2218942.25,1968492.625,424254.0625,478688.9375,636868.875,566614.5625,565869.4375,1307251.625,,864266.6875,1067050.875,1236122.5,566242,355675.3125,406906.6563,807531.0625,573645.5,707891.625,644466.5,582161.0625,838336.5,494260.875,673542,695404.875,571569.125,745855,522261.375,14737646,618749.125,714460.3125,461651.6875,632673.8125,508643.75,704494.75,1214509.125,1709058.75,687196.125,620414.75,512636.1875,426509.4375,593226.9375,530328.25,581253.1875,635675.9375,555514.375,1072791.625,1832626.375,527684.875,522185.5625,533711.125,683879.8125,1008740.063,524952.625,256908.3125,498613.375,287085.2813,269618.4063,453458.5,452537.3125,309660.25,304027.875,321981.9063,487664.0625,329352.6563,642097.25,694351.4375,237472.1875,658108.4375,365846,482136.3438,432018.5625,304006,417746.4688,532610.125,264810.3125,530636.9375,710065,739048.3125,12148241,372303.9688,588661.1875,321203.7813,418628.4063,514191.9688,585026.0625,578780.25,437377.3438,659214.4375,336950.2188,617038.4375,382538.9063,472432.6563,560914.875,1392604.875,553488.6875,654692.625
