Identifier,HK1cnt,HK2cnt,HK3cnt,INF2cnt,INF3cnt,INF4cnt,M01cnt,M02cnt,M03cnt
group,HK,HK,HK,INFEC,INFEC,INFEC,UN,UN,UN
ENSMUSG00000000693,588,534,741,564,472,598,504,617,512
ENSMUSG00000000708,401,361,402,315,343,275,358,467,340
ENSMUSG00000000711,1225,1314,1845,914,1055,628,1464,1612,1467
ENSMUSG00000000724,1,0,0,0,1,1,2,0,3
ENSMUSG00000000730,59,44,60,51,44,38,19,25,5
ENSMUSG00000000731,0,0,0,0,1,0,0,0,0
ENSMUSG00000000732,1769,1552,2427,964,994,672,522,490,525
ENSMUSG00000000738,563,432,695,411,355,431,522,473,378
ENSMUSG00000000740,720,545,888,773,707,919,696,838,575
ENSMUSG00000000743,4613,4431,6645,4246,4183,3820,5191,5434,4922
ENSMUSG00000000751,909,858,1109,848,826,789,1075,1201,1107
ENSMUSG00000000753,53,40,73,30,33,47,66,67,56
ENSMUSG00000000759,731,748,1094,605,746,566,891,1116,866
ENSMUSG00000000766,0,0,1,0,0,0,1,0,0
ENSMUSG00000000776,270,287,436,249,242,227,192,293,235
ENSMUSG00000000782,2,1,2,0,6,1,6,9,1
ENSMUSG00000000787,8238,5752,6853,7601,8018,5711,8838,9874,10591
ENSMUSG00000000791,0,1,6,1,3,6,1,2,1
ENSMUSG00000000792,0,0,0,0,0,0,0,1,1
ENSMUSG00000000804,379,220,284,266,330,230,252,401,320
ENSMUSG00000000811,254,274,369,342,272,275,306,415,299
ENSMUSG00000000817,0,1,2,0,7,0,0,2,0
ENSMUSG00000000823,312,237,364,220,276,226,355,440,355
ENSMUSG00000000826,3981,3710,5003,3350,3262,2761,4304,5004,4321
ENSMUSG00000000827,1663,1610,2310,1578,1542,1600,1873,2102,1881
ENSMUSG00000000838,1141,751,937,884,1088,466,903,913,1034
ENSMUSG00000000861,14,19,16,17,31,5,36,28,25
ENSMUSG00000000869,19,18,28,38,60,65,45,59,49
ENSMUSG00000000876,317,368,497,298,390,405,437,528,510
ENSMUSG00000000881,19,10,29,7,13,23,17,37,20
ENSMUSG00000000884,48,65,96,49,45,80,53,79,93
