"Peak id","Mass","RT","UN_1.mzXML","UN4.mzXML","INFEC_1.mzXML","INFEC_2.mzXML","INFEC_3.mzXML","INFEC_4.mzXML","HK1.mzXML","HK2.mzXML","HK3.mzXML","HK4.mzXML","SOR_UN1.mzXML","SOR_UN2.mzXML","SOR_UN3.mzXML","SOR_UN4.mzXML","SOR_INF1.mzXML","SOR_INF2.mzXML","SOR_INF3.mzXML","SOR_HK1.mzXML","SOR_HK2.mzXML","SOR_HK3.mzXML","SOR_HK4.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","KEGG ID"
"1","147.0764","905.18","395020480","289368320","257776768","161851648","403047296","182654768","285778848","315729216","314446880","278574080","182776304","526251200","216531680","288792480","177597792","139652272","231447184","317408192","149104848","234441952","399394144","positive","Annotate in FrAnK","2-Amino-3-hydroxypropanoic acid,3-Ureidoisobutyrate,Alanyl-Glycine,Alanylglycine,D-Glutamine,D-Serine,DL-Serine,Glutamine,Isoglutamine,L-Glutamine,L-Serine,Protein serine,Ureidoisobutyric acid","C00064,C00065,C00303,C00716,C00740,C00819,C05100,C16673,HMDB00187,HMDB00641,HMDB02031,HMDB03406,HMDB03423,HMDB06899,HMDB28687,HMDB62263,LMFA01100045,Std1_1_20170612_135637_27"
"2","171.0764","905.01","9079840","6973341","6960773.5","3889198.75","9469953","4283163","6574686","7404907.5","7629849","5938572","3732846","9789597","5394338","5857861","4189620.25","3923220.75","4947414","6180544","3482389.5","4851312.5","7640548.5","positive","Annotate in FrAnK","(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid,1-Pyrroline-4-hydroxy-2-carboxylate,4-Oxoproline,5-Oxo-D-proline,5-Oxoprolinate,L-1-Pyrroline-3-hydroxy-5-carboxylate,N-Acryloylglycine,N-Nitrosoguvacoline,Pidolic acid,Pyroglutamic acid,Pyrrolidonecarboxylic acid,Pyrroline hydroxycarboxylic acid,dimethadione","C01877,C01879,C02237,C04281,C04282,C19482,HMDB00267,HMDB00805,HMDB01369,HMDB01843,HMDB02234,HMDB60262,HMDB61093,HMDB62585"
"3","151.0478","903.66","973114.19","943333.75","654349.81","320942.19","1096783.63","291107.75","713782","829484.81","842249","585176.44","765831.44","2289738","786295.25","1199059.63","790790.13","469816.97","938440.31","1426503.63","624843.06","1045088.44","1559588.13","positive","Annotate in FrAnK","2-Aminoacrylic acid,2-Oxazolidinone,2-amino-4-cyano-butanoic acid,3-Isoxazolidinone,4-amino-4-cyano-butanoic acid,5,6-Dihydrothymine,Aminoacrylate,Dehydroalanine,Dihydrothymine,L-Cyclo(alanylglycyl),Squamolone,alpha-Amino-gamma-cyanobutanoate,gamma-Amino-gamma-cyanobutanoate,pyroglutamine","C00906,C02218,C05715,C05717,C06695,C20253,HMDB00079,HMDB03609,HMDB29874,HMDB31547,HMDB39426,HMDB62558,LMFA01100037,LMFA01100038"
"4","358.1639","905.23","659134.19","300419.78","345849.22","175617.34","570069.19","174276.03","383025.72","432502.41","583344.13","206749.66","226397.44","609963.88","185527.5","414942.84","218348.69","206145.64","271437.72","379467.78","143533.27","284570.34","403941.28","positive","No Fragments","(2S)-4'-Hydroxy-5,7,3'-trimethoxyflavan,2'-Hydroxy-3',4',6'-trimethoxydihydrochalcone,2'-O-Methylodoratol,2-(3,5-Dimethoxyphenyl)-3,4-dihydro-7-methoxy-2H-1-benzopyran-5-ol,2-Hydroxy-3,4,6-trimethoxydihydrochalcone,2-Hydroxy-4,5,6-trimethoxydihydrochalcone,4,2',6'-Trihydroxy-4'-methoxy-3',5'-dimethyldihydrochalcone,4-Hydroxy-5,7,4'-trimethoxyflavan,5'-Hydroxy-3',4',7-trimethoxyflavan,7-Hydroxy-2',3',4'-trimethoxyisoflavan,7-Hydroxy-2',4',5'-trimethoxyisoflavan,Alosetron,Combretastatin A-4,Deacetylcolchicine,Flavokawin A,Kuhlmanniquinol,Loureirin B,O-Methylodoratol,Sorgolactone,Verimol A,Verimol B","C09186,C09774,C16712,C20268,HMDB15104,HMDB38323,HMDB38324,HMDB38780,HMDB39510,HMDB39607,HMDB40534,LMPK12020173,LMPK12020260,LMPK12020279,LMPK12100071,LMPK12120544,LMPK12120550,LMPK12120558,LMPK12120573,LMPK12120604,LMPK12120609,LMPK12120610"
"5","380.1458","905.77","350100.38","270301.81","219935.03","138481.02","447617.34","72580.04","352576.13","365256.88","340454.91","338232.78","219730.81","658880","192455.05","405919.44","205501.28","197961.67","372933.5","365046.75","215898.92","250747.67","416731.56","positive","No Fragments","(2S)-4'-Hydroxy-5,7,3'-trimethoxyflavan,2'-Hydroxy-3',4',6'-trimethoxydihydrochalcone,2'-O-Methylodoratol,2-(3,5-Dimethoxyphenyl)-3,4-dihydro-7-methoxy-2H-1-benzopyran-5-ol,2-Hydroxy-3,4,6-trimethoxydihydrochalcone,2-Hydroxy-4,5,6-trimethoxydihydrochalcone,4,2',6'-Trihydroxy-4'-methoxy-3',5'-dimethyldihydrochalcone,4-Hydroxy-5,7,4'-trimethoxyflavan,5'-Hydroxy-3',4',7-trimethoxyflavan,7-Hydroxy-2',3',4'-trimethoxyisoflavan,7-Hydroxy-2',4',5'-trimethoxyisoflavan,Combretastatin A-4,Deacetylcolchicine,Flavokawin A,Kuhlmanniquinol,Loureirin B,O-Methylodoratol,Sorgolactone,Verimol A,Verimol B","C09186,C09774,C16712,C20268,HMDB38323,HMDB38324,HMDB38780,HMDB39510,HMDB39607,HMDB40534,LMPK12020173,LMPK12020260,LMPK12020279,LMPK12100071,LMPK12120544,LMPK12120550,LMPK12120558,LMPK12120573,LMPK12120604,LMPK12120609,LMPK12120610"
"6","402.1277","905.73","355398.47","243417.81","246547.3","140896.5","558778.19","156987.55","298229.69","389146.53","379696.5","246873.34","167150.91","478081.16","214823","225652.44","244883.84","169160.08","230238.69","252505.22","169318.78","180260.44","321487.41","positive","No Fragments","",""
"7","127.0727","696.03","1341720.63","5439953","732236.63","1920362","889602.06","952596.88","621276.44","850523","559654.94","532057.19","432891.63","1234611.75","19072690","5308555","447024.28","665300.63","1141313.25","1913677.88","409520.34","488167.47","282787680","positive","Melamine (C3H6N6) Prob = 98.5900000000","Melamine","C08737,HMDB41922"
"8","122.0812","917.57","23945040","48889468","63018200","116197456","21367568","180930736","15878892","7224984.5","4408871.5","182000480","4195261.5","5844628.5","2827723.75","9374507","5171832.5","3365696","3391174","11369531","4683163","2023558.13","263952528","positive","2-Amino-2-(hydroxymethyl)-1,3-propanediol (C4H11NO3) Prob = 97.2600000000","Tromethamine","C07182"
"9","333.1688","911.97","838444.81","1442830","1625606.25","1750790.5","950171.75","2444857.5","585227.44","358783.56","246808.47","3532638","19391.94","102509.3","NA","79912.34","26829.63","NA","32707.79","120064.09","NA","NA","1602608.88","positive","No Fragments","(R)-Marmin,Gibberellin A20,Gibberellin A4,Gibberellin A45,Gibberellin A51,Gibberellin A61,Gibberellin A70,Trichothecin","C02035,C09742,C11864,C11865,HMDB30787,HMDB34987,HMDB35041,HMDB35042,HMDB38014,LMPR0104170004,LMPR0104170021,LMPR0104170022"
"10","132.0767","885.53","131537344","128101592","118354888","97892280","145060640","97634784","121024176","122869776","125891144","126622480","145903360","188980912","150150736","174624816","134273536","134855840","124760680","163543264","131055536","159818976","163015584","positive","CREATINE (C4H9N3O2) Prob = 97.3800000000","3-Guanidinopropanoate,Beta-Guanidinopropionic acid,Creatine,Methylazoxymethanol,N-(Hydroxymethyl)urea,alpha-Hydroxy-NDMA","C00300,C02390,C03065,C06384,C20301,HMDB00064,HMDB13222"
"11","148.0604","879.13","20977542","18792648","21756356","17123612","37839940","19147462","26416422","20081542","22863020","20091068","38284660","45999644","42198272","45150168","41410160","40111984","39668804","39521060","35894788","44355756","38932396","positive","Annotate in FrAnK","2-Oxo-4-hydroxy-5-aminovalerate,3-(Carboxymethylamino)propanoic acid,3-Aminopentanedioate,D-2,3-Dihydroxypropanoic acid,D-Glutamate,D-Glutamic acid,D-Glycerate,DL-Glutamate,Glyceric acid,L-4-Hydroxyglutamate semialdehyde,L-Glutamate,L-Glutamic acid,L-Glyceric acid,L-threo-3-Methylaspartate,N-(Carboxymethyl)-D-alanine,N-Acetylserine,N-Methyl-D-aspartic acid,N-lactoyl-Glycine,O-Acetyl-L-serine,O-Acetylserine","C00025,C00217,C00258,C00302,C00979,C03618,C03790,C05574,C05938,C05941,C12269,HMDB00139,HMDB00148,HMDB02393,HMDB02931,HMDB03011,HMDB03339,HMDB06372,HMDB06556,HMDB31818,HMDB33550,HMDB60475,HMDB62183,Std1_1_20170612_135637_57"
"12","156.0768","905.11","7686279.5","6820364.5","5529046","4672629","10444900","3949721.25","6862975.5","6720417","7340054.5","5869848.5","8890653","26515730","12103226","15137299","10551903","10639402","11581448","15158623","8386506.5","11702173","18067380","positive","His (C6H9N3O2) Prob = 68.3300000000","2,5-Dioxopiperazine,3-(Pyrazol-1-yl)-L-alanine,3-Cyano-L-alanine,5,6-Dihydrouracil,D-Histidine,Dihydrouracil,Histidine,L-2-Amino-3-(1-pyrazolyl)propanoic acid,L-3-Cyanoalanine,L-Histidine,Muscimol,N-Methylhydantoin","C00135,C00429,C00768,C01162,C02512,C02565,C02777,C06419,C08311,HMDB00076,HMDB00177,HMDB03646,HMDB34267,HMDB60245"
"13","116.0706","771.37","103344792","116003720","68319224","104547568","168765744","61559464","124077552","59860940","97139536","72831088","62127016","139585344","34810908","67710696","54251080","36570080","39525448","46277872","28267608","47618728","137571984","positive","L-Proline (C5H9NO2) Prob = 83.4100000000","(R)-Lactaldehyde,(S)-Lactaldehyde,3-Acetamidopropanal,3-Hydroxypropanal,4-Amino-2-methylenebutanoic acid,Acetamidopropanal,D-Lactaldehyde,D-Proline,Ethyl formate,Glycidol,Hydroxyacetone,L-Proline,Lactaldehyde,Methyl acetate,Proline,Propanoate,Propionic acid,Pterolactam","C00148,C00163,C00424,C00763,C00937,C00969,C05235,C05999,C10920,C16435,C17530,C18170,HMDB00162,HMDB00237,HMDB03052,HMDB03411,HMDB03453,HMDB06458,HMDB06961,HMDB12880,HMDB30409,HMDB31229,HMDB31523,HMDB34208,LMFA01010003,Std1_1_20170612_135637_21"
"14","175.119","1587.26","130860448","111238504","96264560","85646000","155872288","74794736","115866320","103001616","114666808","103705288","61802512","151841280","68944312","88498752","66243892","47010296","79943872","100451984","48508772","72379744","107200152","positive","Arginine (C6H14N4O2) Prob = 98.5800000000","Amino acid(Arg-),D-Arginine,L-Arginine","C00062,C00792,C02385,HMDB00517,HMDB03416"
"15","219.0829","1586.31","699839.44","507625.03","492468.56","407639.19","749028.25","321700.88","530608.75","454522.5","577455.94","502670.5","87883.29","409704.5","131169.61","173022.06","112174.66","88145.16","163572.44","197071.08","75360.49","88416.6","286362.91","positive","No Fragments","",""
"16","386.2064","1586.69","333191.72","243359.31","159652.23","143332.83","513608.16","111764.42","276082.09","231319.25","327141.19","237615.42","48064.66","285502.53","45327.34","63573.09","23797.98","16900.67","45962.67","74241.79","NA","36684.63","113518.71","positive","No Fragments","Arformoterol,Formoterol","C07805,HMDB15118,HMDB15399"
"17","259.0752","1587.13","226329.69","160091.42","170322.95","142114.94","263848.78","106692.41","212354.14","171149.78","186521.66","174260.05","22667.67","144273.5","52201.8","67835.77","27097.22","22743.06","63414.72","79107.1","18240.62","48194.72","106764.27","positive","No Fragments","Northienamycin,Tyramine-O-sulfate","C17369,HMDB06409"
"18","325.0469","1588.61","129426.2","99825.28","83863.07","71708.58","175431.02","69594.93","110390.2","96737.76","116652.88","90280.74","NA","127077.87","20333.32","29901.14","26862.29","NA","20293.66","47839.93","NA","15898.82","83867.27","positive","No Fragments","(-)-5,7-Dihydroxy-3-(4-hydroxybenzyl)-4-chromanone,(-)-Nissolin,(-)-Vestitone,(6aR,11aR)-3,8-Dihydroxy-9-methoxypterocarpan,(R)-DNPA,(R)-Oxypeucedanin,(R)-Pabulenol,(S)-DNPA,2',4',6'-Trihydroxy-3'-formyldihydrochalcone,2',4',6'-Trihydroxy-4-methoxychalcone,2',4',beta-Trihydroxy-6'-methoxychalcone,2',4'-Dihydroxy-3,4-methylenedioxydihydrochalcone,2',4'-Dihydroxy-5,6-dimethoxy-2-phenylbenzofuran,2',6',beta-Trihydroxy-4'-methoxychalcone,2'-O-Methyllicodione,2,2',4'-Trihydroxy-6'-methoxychalcone,2,7-Dihydroxy-4'-methoxyisoflavanone,2-(2,4-Dihydroxyphenyl)-5,6-dimethoxybenzofuran,2-methoxyacetaminophen sulfate,3',7-Dihydroxy-4'-methoxyisoflavanone,3'-Formyl-2',4',6'-trihydroxydihydrochalcone,3'-Hydroxydihydroformononetin,3,2',4'-Trihydroxy-4-methoxychalcone,3,4-Dihydro-8-hydroxy-3-(3-hydroxy-4-methoxyphenyl)-1H-2-benzopyran-1-one,3,4-Dihydroxy-9-methoxypterocarpan,3,8-Dihydroxy-9-methoxypterocarpan,3-Methylnaringenin,4-Hydroxymedicarpin,5,6-Dihydroxy-4'-methoxyflavanone,5,8-Dihydroxy-7-methoxyflavanone,6-Chlorocatechin,6a-Hydroxyisomedicarpin,6a-Hydroxymedicarpin,6alpha-Hydroxyisomedicarpin,6alpha-Hydroxymedicarpin,Asperxanthone,Brazilin,Calythropsin,Claussequinone,Desmocarpin,Dihydrobiochanin A,Dihydroechioidinin,Dihydroglycitein,Dihydrooroxylin,Dihydrooroxylin A,Dihydrowogonin,Gummiferol,Haginin C,Heliannone C,Helichrysetin,Homobutein,Isopterofuran,Isosakuranetin,Kukulkanin B,Kushenin,Licochalcone B,Licodione 2'-methyl ether,Linderone,Melilotocarpan B,Moracin A,Moracin B,Moracin F,Naringenin 5-methyl ether,Neosakuranetin,Nissicarpin,Oxypeucedanin,Peltogynan,Phyllodulcin,Poriol,Pterofuran,Quinquangulin,Sainfuran,Sakuranetin,Sappanchalcone,Sepiol,Vesticarpan,Vestitone","C00786,C02675,C02922,C05334,C08844,C08974,C09044,C09282,C09833,C09920,C09975,C10274,C10508,C12434,C16190,C18835,HMDB29527,HMDB29870,HMDB30090,HMDB30622,HMDB30793,HMDB30807,HMDB30852,HMDB31420,HMDB31620,HMDB33291,HMDB33309,HMDB34011,HMDB34012,HMDB34114,HMDB34115,HMDB34438,HMDB37320,HMDB37322,HMDB37489,HMDB38283,HMDB38448,HMDB41726,HMDB62550,LMFA05000014,LMPK12020154,LMPK12050449,LMPK12050462,LMPK12050475,LMPK12070051,LMPK12070052,LMPK12070055,LMPK12070056,LMPK12070060,LMPK12070074,LMPK12070077,LMPK12070105,LMPK12070131,LMPK12070132,LMPK12080051,LMPK12080064,LMPK12080065,LMPK12100062,LMPK12120112,LMPK12120113,LMPK12120114,LMPK12120115,LMPK12120152,LMPK12120204,LMPK12120265,LMPK12120300,LMPK12120309,LMPK12120397,LMPK12120398,LMPK12120399,LMPK12120434,LMPK12120437,LMPK12120460,LMPK12120487,LMPK12140103,LMPK12140126,LMPK12140301,LMPK12140303,LMPK12140355,LMPK12140555,LMPK12140571,LMPK12140611,LMPK12140661,LMPK12140663,LMPK12160040,LMPK12160043,LMPK12160048,LMPK12160049"
"19","177.1192","1587.91","118302.81","123160.4","86988.6","88196.95","159412.67","74986.95","120296.77","101957.9","112899.88","133411.61","61990.52","158141.72","77471.57","83709.07","64224.36","44735.91","76369.12","98206.02","53423.34","71847.35","103302.38","positive","No Fragments","",""
"20","128.9535","1874.07","72618024","65161808","99051808","53631088","64158304","79715912","55247536","94546240","68053664","79818216","69358472","134238944","154510096","153301680","117570520","126651224","142024464","152190768","130323656","132782240","133246280","positive","Annotate in FrAnK","",""
"21","168.946","1874.05","21823274","19237564","30261866","15308154","18232250","23910690","16044167","29152946","19677862","24161280","17227082","37683808","41037988","41429852","31474346","34607612","41329424","44071200","36160092","37767036","37698256","positive","Annotate in FrAnK","",""
"22","234.9177","1874.07","10235828","8727753","15424585","6745967.5","8657919","11366480","7017120.5","14159867","8884210","11429952","9903024","24830108","25768316","25046718","20453660","22644362","26376974","28835342","24527762","24636216","23861508","positive","Annotate in FrAnK","",""
"23","274.91","1873.71","4474853.5","3660262","6727059.5","2893377.5","3663465.25","4962209","2957387.75","6441181","3643830.5","4942550","4584279.5","13092734","13974274","12365007","10162193","11540670","13850521","15024383","12125661","12619543","12486066","positive","Annotate in FrAnK","",""
"24","296.918","1874.08","6127835","5305788.5","8668711","3700350.25","4736602.5","6565200.5","4247520.5","8524406","5447970.5","6726910.5","3668740","9274208","9957608","8547473","7593349","8605230","10371324","11020925","9089563","8895287","9260078","positive","Annotate in FrAnK","",""
"25","318.9","1873.93","3922255.5","3406049.5","6027658.5","2526816.5","3357872","4501267.5","2684722.75","6061562","3537265.25","4764151","2933569.75","8849958","9417970","8122625","7179510.5","7883255.5","10204732","10427523","8163703","8717567","8814001","positive","Annotate in FrAnK","",""
"26","340.8819","1874.68","1609118.63","1288888.38","2528206.25","884440.44","1299105.88","1818710.13","969957.5","2280410","1270550.38","1768150.63","1388446.25","5010900.5","5378162.5","4297056","3779249.75","4066516.25","5351417","5837306.5","4596564.5","4722768","4844082","positive","Annotate in FrAnK","",""
"27","252.9281","1873.99","2327601.75","2082142.13","3521116.75","1621422.88","2024372.13","2658718.5","1736018.75","3433784.75","2074640.38","2620317","1778700.5","4434966","4809929.5","4243647","3695047.25","4170381.5","4836268","5304428.5","4371194.5","4505906","4701924.5","positive","Annotate in FrAnK","",""
"28","212.9358","1874.06","3458417","3307510.75","4831349","2325363.5","2951606.75","3850013.5","2777109.25","4954049","3488828.25","3893256.75","1980130.63","4359534.5","4764871","4333794","3585596.5","4186320.75","4855949.5","5116756.5","4150697.75","4362996.5","4198888","positive","Annotate in FrAnK","",""
"29","380.9002","1874.08","2417835.5","2172158.25","3805384.25","1515262","2097079.25","2865761.25","1789283.88","3926003","2231277.75","2853100.5","1329771.5","3728978","4187993.25","3654147","3128306.5","3720444.25","4300874.5","4742299","3501768.5","3632092","4063774.5","positive","Annotate in FrAnK","",""
"30","402.8822","1873.99","1397235.38","1233438","2251552.75","763211.06","1098397.38","1577255.63","934561.63","2068774.88","1118079.88","1527873","931256.44","3187758.25","3587482.5","3081100.5","2514155.25","2793052.5","3686153","3950859.5","3065728","3158510.5","3155050.5","positive","Annotate in FrAnK","",""
"31","380.8743","1874.43","731496.44","607304.19","1199046.38","383370.69","541526.44","807258.94","445737.06","1094603.75","655528.94","782489.94","672007.31","2222265.25","2456000.75","2083874.13","1678713.75","1980601.88","2651794.25","2964970.75","2102376.25","2160389","2260661.5","positive","No Fragments","",""
"32","464.8827","1874.9","1048706.88","832336.25","1525438.38","621177.38","787159.88","1132092.38","677978.63","1556050.63","966972.69","1207832.63","663077.94","2134116.75","2293448.5","1812958.38","1623894.5","1970508.63","2245778.75","2521916","1765763.5","1931605.38","1999919.88","positive","Annotate in FrAnK","",""
"33","208.9385","1873.85","819840.19","710206.81","1263406.38","611018.38","762290.25","1027949.13","603122","1246180.88","774457.06","957809.5","830508.69","2310027.5","2191425.25","2077162.25","1652999.88","1963133.75","2348988.75","2467458.75","2008964.88","2152520.75","1956157.63","positive","Annotate in FrAnK","",""
"34","424.864","1873.62","587218.38","460415.25","875471.56","311071.81","436003","636318.19","332048.06","873313.94","469606.13","632231.19","392045.28","1438604.5","1785923.5","1419148.63","1194161.38","1478189.13","1695372","1958201.5","1357546.38","1513546.38","1440778.38","positive","Annotate in FrAnK","",""
"35","526.8834","1874.9","1174830.5","980195.5","1659547.38","625041.44","930254.06","1277292.5","762484.75","1660539.88","1088363.13","1268654.38","448751.91","1563655.63","1668413.25","1478556","1312747.5","1530907.63","1946485.63","1900388.75","1494626.5","1555490.38","1649326.38","positive","Annotate in FrAnK","",""
"36","309.2035","1872.2","406584.09","345092.66","429216.5","279505.75","342655.97","395599.97","303645.91","337465.31","340378.81","326647.88","1288831.75","1737034","1703385.5","1511446.63","1621030.75","1796821.75","1812207.75","1859808.88","1577202.88","1766552.63","1715385.5","positive","Annotate in FrAnK","10-hydroxy-16-oxo-hexadecanoic acid,14,14,14-Trifluoro-11E-tetradecenyl acetate,14,14,14-Trifluoro-11Z-tetradecenyl acetate,16-Hydroxy-10-oxohexadecanoic acid,2,2,4-Trimethyl-1,3-pentadienol diisobutyrate,2,3-Dihydroxycyclopentaneundecanoic acid,9-hydroxy-16-oxo-hexadecanoic acid,Hexadecanedioate,Hexadecanedioic acid","C14987,C19615,HMDB00672,HMDB41287,HMDB59777,LMFA01170022,LMFA01170059,LMFA01170060,LMFA07010327,LMFA07010328"
"37","486.8646","1874.75","589906.81","439145.41","970936.75","312871.38","476253.69","696481.63","374185.03","1002503.81","581213.81","690291.38","334642.41","1324394.75","1674794.38","1236727.13","991665.75","1282135.5","1531800.88","1752458.13","1212832.13","1449785.75","1295049.25","positive","Annotate in FrAnK","",""
"38","548.8653","1875.08","570598.44","584165","1077220.25","367056.75","480738.63","822025.94","402150.56","1032161.38","564295.25","758638.56","333101.81","1363801.63","1424562.38","1116754","983458.06","1059291.13","1571369.75","1642323.63","1120562.38","1226078.5","1150165.25","positive","No Fragments","",""
"39","446.8459","1874.53","385534.78","296416.25","629749.88","216508.63","338773.31","497586.22","255769.41","630524.88","345862.31","468148.69","335359.56","1286780","1376684.63","1125437.25","983804.81","1169334.25","1378407.38","1618484.88","1181413.5","1157353.13","1334144","positive","Annotate in FrAnK","",""
"40","314.9026","1874.42","270127.59","173509.91","373726.84","133855.44","185641.2","256896.08","169009.09","351460.59","214386.05","249017.52","247900.47","760535.19","824465.94","788960.69","644420.81","749284.94","837647.31","1054272.88","817317.13","805544.38","779244.75","positive","No Fragments","",""
"41","632.8471","1873.75","333719.97","322433.5","614928.06","215434.17","286146.34","439823.38","208700.42","642845.44","399871.25","453069.97","202324.22","835223.44","1000082.06","767646.19","571920.25","760215","935537.44","991964.06","772326.56","778854.75","777643.88","positive","No Fragments","",""
"42","570.847","1874.08","370920.75","270972.91","508306.91","183402.66","282338.31","355660.06","184315.28","467839.69","342100.81","351186.19","193170.95","797123.31","976656.75","790090.06","663443","745707.06","968132.69","979782.5","711256.88","754340.69","806171.31","positive","No Fragments","",""
"43","215.1253","1873.14","324352.81","311205.38","411251.94","281085.81","332257.94","348629.41","354928.94","383610.53","322388.22","358556.53","599043.69","904800.69","830479.94","738678.25","800623.06","841144.63","929700.81","797208.81","910859.13","827675.06","848545.19","positive","Annotate in FrAnK","",""
"44","358.8924","1874.37","284956.91","236638.16","471330.66","173935.97","199380.33","282825.53","204855.92","526302.75","264812.31","316085.28","228488.86","761438.19","804881.69","683190.44","619272.38","715061","909201.75","855560","713555.38","746970.69","788467.38","positive","No Fragments","",""
"45","486.8385","1874.16","165065.69","145834.25","312457.91","106760.41","159197.36","216635.17","118094.38","301649.78","136254.72","227365.05","160732.63","677075.63","627006.44","605002.75","459998.91","606186.38","713432.5","781580.63","575343.38","621276.81","571796.88","positive","No Fragments","",""
"46","610.8653","1874.48","397059.16","370419.56","656541.75","184015.42","314684.94","468938.5","278950.22","639421.19","368137.16","437259.34","140497.86","556002.69","695145.31","577939.88","512209.41","488188.78","645375.31","755787.38","608156.13","589203.63","650727.5","positive","No Fragments","",""
"47","716.8291","1873.78","277837.13","196733.78","455797.56","162033.56","232027.11","283336.97","197940.19","422588.97","231509.34","261857.7","109531.87","527720","585409.5","503612.31","413239.13","445322.94","726652.44","739601.13","470366.63","503587.66","502006.84","positive","No Fragments","",""
"48","508.8467","1874.33","210550.28","156459","370070.53","137391.59","159327.02","232063.02","118529.23","296761.44","178363.56","261648.94","143053.08","570164.63","639561.31","483809","423976.28","460935.13","652539.19","701751.94","566184.44","602970.19","528087.56","positive","No Fragments","",""
"49","694.8474","1874.66","259125.69","292852.03","461833.53","151526.28","225743.75","382886","213955.28","544068.63","241971.05","331667.81","160018.77","481381.06","554712.31","449828.25","380867.34","391528.22","534788.81","699399.38","448814.5","438988.75","453684.78","positive","No Fragments","",""
"50","552.8103","1874.76","137177.17","144095.02","254097.36","87003.47","100119.95","177608.13","91280.05","201926.13","135631.27","171207.8","96964.95","485038.5","534504.75","487770.66","402576.47","419292.81","640245.81","575614.94","488864.22","450158.22","437412.34","positive","No Fragments","",""
"51","654.8289","1874.66","192479.09","139412.31","291185.91","105920.27","137286.31","235659.22","123901.7","374543.72","135056.3","196009.06","85677.68","474264.16","472901.78","489783.13","311983.78","353879.06","454337.63","567734.06","388862.06","364231.91","462093.16","positive","No Fragments","",""
"52","654.8289","1874.66","192479.09","139412.31","291185.91","105920.27","137286.31","235659.22","123901.7","374543.72","135056.3","196009.06","85677.68","474264.16","472901.78","489783.13","311983.78","353879.06","454337.63","567734.06","388862.06","364231.91","462093.16","positive","No Fragments","",""
"53","212.0328","1873.01","210398.09","175334.7","246426.33","200037.23","185020","213184.83","138871.45","174804.63","192424.72","186515.7","459178.47","461940.09","435546.69","485337.06","487418.38","474042.06","563785.13","519825.09","552352.5","504188.47","514702.75","positive","No Fragments","",""
"54","800.8111","1874.18","172406.11","144142.92","267197.75","97609.55","129235.17","194216.19","129740.85","339476.75","169442.27","164751.66","83249.74","401185.66","371443.91","314171.06","218387.16","282571.81","414250.78","451653.94","312605.13","329987.72","384657.66","positive","No Fragments","",""
"55","592.8283","1873.6","143022.5","87379.16","208737.09","61598.69","79694.05","131562.02","75700.34","168547.84","110531.38","125924.7","75276.43","322858.88","421510.34","301253","272566.78","320149.03","318113.63","412300.63","265527.38","328451.34","325345.97","positive","No Fragments","",""
"56","354.895","1874.51","90033.79","66877.55","149703.73","27599.68","42304.63","100606.83","52219.53","132564.89","59658.15","86150.91","82516.48","289305.53","409599.16","264737.59","219431.11","239088.89","367762.66","361451.41","220190.64","287885.34","273109.81","positive","No Fragments","",""
"57","239.1616","1873","16388.99","16135.98","15469.28","19815.7","13958.41","24352.16","NA","16354.22","24202.32","14944.77","259840.25","328412.22","402122.81","308898.38","317233.13","386711.56","367388.03","325628.56","319990.34","259931.17","309512.5","positive","No Fragments","(R)-3-Hydroxydodecanoic acid,11-hydroxy-dodecanoic acid,11R-hydroxy-dodecanoic acid,12-Hydroxydodecanoic acid,12-hydroxy lauric acid,2R-hydroxylauric acid,2S-hydroxylauric acid,3-Hydroxydodecanoic acid,3R-hydroxy-dodecanoic acid,3S-hydroxy-dodecanoic acid,4-ethylamino-6-isopropylamino-1,3,5-triazin-2-ol,4-hydroxy lauric acid,4R-hydroxylauric acid,4S-hydroxylauric acid,7-hydroxy-dodecanoic acid,9-hydroxy-dodecanoic acid,Hydroxyatrazine,alpha-hydroxy lauric acid,beta-hydroxylauric acid,xi-5-Hydroxydodecanoic acid","C06552,C08317,HMDB00387,HMDB02059,HMDB10728,HMDB40169,HMDB62766,LMFA01050036,LMFA01050037,LMFA01050038,LMFA01050039,LMFA01050165,LMFA01050166,LMFA01050167,LMFA01050251,LMFA01050252,LMFA01050253,LMFA01050361,LMFA01050362,LMFA01050363,LMFA01050364"
"58","778.8291","1874.11","180125.78","144292.14","284870.25","83119.23","114276.01","211051.06","108821.63","299792.59","119220.23","190116.59","87024.2","290881.28","321010.84","254107.55","198070.02","212590.47","330406.41","394386.69","239508.36","315713.81","296096.03","positive","No Fragments","",""
"59","530.8286","1873.73","98658.37","76645.09","162054.11","67798.89","92914.96","143133.47","65387.49","210258.84","83850.32","120747.12","73258.54","279844.97","388150.34","349476.66","265913.06","274275.03","362716.41","342599.38","292153.63","292100.63","282591.94","positive","No Fragments","",""
