"Peak id","Mass","RT","UN_1.mzXML","UN4.mzXML","INFEC_1.mzXML","INFEC_2.mzXML","INFEC_3.mzXML","INFEC_4.mzXML","HK1.mzXML","HK2.mzXML","HK3.mzXML","HK4.mzXML","SOR_UN1.mzXML","SOR_UN2.mzXML","SOR_UN3.mzXML","SOR_UN4.mzXML","SOR_INF1.mzXML","SOR_INF2.mzXML","SOR_INF3.mzXML","SOR_HK1.mzXML","SOR_HK2.mzXML","SOR_HK3.mzXML","SOR_HK4.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","KEGG ID"
"3672","72.9429","765.82","270119.34","206118.48","377377.84","130330.85","191295.69","362536.13","181319.91","449261.47","282152.34","298041.44","120130.14","455596.53","499534.06","381122.56","339789.25","438895.72","480117.69","571008","395913.75","399175.88","453924.09","negative","No Fragments","",""
"3673","145.0506","834.18","124836.65","179852.52","113795.82","130233.73","183870.73","126031.17","75949.91","113240.16","132417.88","97496.5","54067.95","85098.45","94695.78","72820.09","78042.78","101071.92","74420.56","77282.76","94559.41","78808.17","570859.38","negative","No Fragments","(R)-3-Hydroxy-3-methyl-2-oxopentanoate,(R)-4-Dehydropantoate,(S)-2-Aceto-2-hydroxybutanoate,(S)-2-Aceto-2-hydroxybutanoic acid,2,2-Dimethylsuccinic acid,2,2-dimethyl-succinic acid,2-Aceto-2-hydroxybutanoate,2-Dehydropantoate,2-Methylglutaric acid,2-methyl-glutaric acid,2-oxo-4-hydroxy-hexanoic acid,2S-acetyl-2-hydroxy-butanoic acid,3-Hydroxy-3-methyl-2-oxopentanoic acid,3-Hydroxy-5-oxohexanoate,3-hydroxy-3-methyl-2-oxo-pentanoic acid,4-Ethoxy-4-oxobutanoic acid,4-Hydroxy-2-oxohexanoic acid,Adipate,Adipic acid,Dimethyl succinate,Methylglutaric acid,Mevaldate,Monomethyl glutaric acid,Solerol","C00659,C00772,C00966,C01053,C04237,C06006,C06104,C06762,C14463,C16272,HMDB00422,HMDB00448,HMDB00752,HMDB00858,HMDB02074,HMDB02173,HMDB06900,HMDB33837,HMDB61930,LMFA01020278,LMFA01050343,LMFA01050383,LMFA01170048,LMFA01170080,LMFA01170084,LMFA01170117"
"3674","103.999","590.53","501967.25","493003.28","513138.59","484155.97","503876.09","569373.63","508497.19","527623.06","519527.09","491179.41","286819.28","305893.91","327940.97","281095.63","295861.22","313920.25","278366.47","312647.41","299409.53","295829.88","293347.59","negative","No Fragments","",""
"3675","223.7984","905.13","375840.78","403321.38","566533.06","367990.34","353789.47","399892.16","404026.5","556744.69","383084.06","511085.09","131860.64","214047.66","362975","197006.92","193240.2","414435.91","203125.89","244429.7","295380.19","224176.33","240733.2","negative","Annotate in FrAnK","",""
"3676","311.169","2598.17","475208.09","561332.13","449558.34","520363.69","499605.09","561664.81","479581.94","466869.97","462834.53","544733.38","470260.31","400327.75","376098.69","439814.38","408958.91","387764","395617.28","406007.59","394931.5","434931.91","372876.41","negative","Annotate in FrAnK","N-Undecylbenzenesulfonic acid","HMDB32549"
"3677","156.9431","2096.75","555754.19","504593.16","544962.63","531599.06","399760.97","559501.38","526484.81","501601.41","476293.28","557623.38","414790.84","242630.94","245453.78","225024.64","235858.13","255469.75","237134.45","237372.92","241022.88","471418.41","225314.88","negative","No Fragments","",""
"3678","255.901","2101.62","226999.75","196500.53","206542.13","223052.3","139143.27","277046.56","204132.02","193951.53","166240.7","211933.95","149672.36","61934.88","62340.91","50734.26","62808.41","69091.02","60743.4","59531","59115.16","157854.78","60750.38","negative","No Fragments","",""
"3679","211.0978","258.22","239295.39","549830.56","253823.98","215965.94","203680.8","259704.14","336515.66","378872.53","402442.28","308308.38","165378.52","140946.22","142790.84","111268.37","94653.97","181501.67","92855.61","110927.22","103283.93","154371.56","538654.25","negative","No Fragments","3,4-Methyleneazelaic acid","HMDB59744"
"3680","178.0511","279.74","334297.81","234689.97","201641.22","113403.7","477900.53","154357.33","282572.34","214447.22","278020.47","217483.48","148573.14","547791.69","147338.02","247384.81","152771.31","105244.99","195586.98","261121.06","79193.76","145929.92","533871.81","negative","No Fragments","1-(4-Methoxyphenyl)-2-nitroethylene,2,5,6-Trihydroxy-5,6-dihydroquinoline,3-Succinoylpyridine,Adrenochrome,Hippurate,Hippuric acid,Methyl n-formylanthranilate,N-Acetylanthranilate","C01586,C06332,C06339,C19569,HMDB00714,HMDB00992,HMDB12884,HMDB32398,HMDB32595"
"3681","307.1125","284.3","151420.3","143416.88","125992.63","80595.13","412751.41","80467.57","236933.95","184149.61","137580.13","137675.91","75170.03","259117.8","84160.34","100176.6","54866.83","40322.89","97785.37","111372.84","52365.28","84317.96","156682.84","negative","No Fragments","",""
