"Peak id","Mass","RT","24_U1.mzXML","24_U2.mzXML","24_U3.mzXML","24_U4.mzXML","24_INFEC_1.mzXML","24_INFEC_2.mzXML","24_INFEC_3.mzXML","24_INFEC_4.mzXML","24_HK1.mzXML","24_HK2.mzXML","24_HK3.mzXML","24_HK4.mzXML","24_SOR_UN1.mzXML","24_SOR_UN2.mzXML","24_SOR_UN3.mzXML","24_SOR_UN4.mzXML","24_SOR_IN2.mzXML","24_SOR_INF1.mzXML","24_SOR_INF3.mzXML","24_SOR_HK1.mzXML","24_SOR_HK2.mzXML","24_SOR_HK3.mzXML","24_SOR_HK4.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","KEGG ID"
"1","147.0764","903.03","285249248","230672720","351206912","131465184","28375226","232893424","88014288","215446448","222135648","220575440","308353312","141949280","340901952","333231136","584093504","488683776","642016320","435540448","402546528","360635776","332945440","425512000","690413568","positive","Annotate in FrAnK","2-Amino-3-hydroxypropanoic acid,3-Ureidoisobutyrate,Alanyl-Glycine,Alanylglycine,D-Glutamine,D-Serine,DL-Serine,Glutamine,Isoglutamine,L-Glutamine,L-Serine,Protein serine,Ureidoisobutyric acid","C00064,C00065,C00303,C00716,C00740,C00819,C05100,C16673,HMDB00187,HMDB00641,HMDB02031,HMDB03406,HMDB03423,HMDB06899,HMDB28687,HMDB62263,LMFA01100045,Std1_1_20170612_135637_27"
"2","184.0734","904.97","833220.19","610636.75","735502","957144.06","161853.38","3133370.5","2251435","3578790.75","1309269.63","996625.5","1070597.88","830404.19","15052926","14156780","15501153","15526869","16589301","15328623","13608365","13517428","13281249","13084539","10944131","positive","Annotate in FrAnK","(R)-Boschniakine,1-(2,3-Dihydro-1H-pyrrolizin-5-yl)-2-propen-1-one,2,3-Dihydrobenzofuran,2-Methylbenzaldehyde,2-amino-heptanoic acid,2R-aminoheptanoic acid,2S-aminoheptanoic acid,3,4-Dihydro-4-[(5-methyl-2-furanyl)methylene]-2H-pyrrole,3-Dehydroxycarnitine,3-Methylbenzaldehyde,3-[(5-Methyl-2-furanyl)methyl]-1H-pyrrole,4-Hydroxystyrene,4-Methylbenzaldehyde,Acetophenone,Boschniakine,Choline phosphate,Indole-3-ethanol,Lentialexin,Phenylacetaldehyde,Styrene Oxide,Styrene oxide,Tryptophanol,p-Tolualdehyde","C00601,C00955,C02083,C05627,C06758,C07113,C07209,C07214,C09915,HMDB03447,HMDB04072,HMDB06236,HMDB06831,HMDB13815,HMDB29636,HMDB29637,HMDB29638,HMDB30267,HMDB33910,HMDB38997,HMDB40028,HMDB40042,HMDB40048,HMDB62765,LMFA01100013,LMFA01100014,LMFA01100015,Std2_1_20170612_135749_34"
"3","171.0764","903.14","6503172.5","5598509.5","7996244.5","3531844.5","791184.75","5895930.5","2263274.5","5605419","5642049","5794242.5","7367890","3844558.5","6716710","6701731","9461089","8460191","10150987","8517525","8683676","6390117","8653266","7440237.5","12743321","positive","Annotate in FrAnK","(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid,1-Pyrroline-4-hydroxy-2-carboxylate,4-Oxoproline,5-Oxo-D-proline,5-Oxoprolinate,L-1-Pyrroline-3-hydroxy-5-carboxylate,N-Acryloylglycine,N-Nitrosoguvacoline,Pidolic acid,Pyroglutamic acid,Pyrrolidonecarboxylic acid,Pyrroline hydroxycarboxylic acid,dimethadione","C01877,C01879,C02237,C04281,C04282,C19482,HMDB00267,HMDB00805,HMDB01369,HMDB01843,HMDB02234,HMDB60262,HMDB61093,HMDB62585"
"4","151.0478","901.38","571575.44","546929.63","805307.06","273799","64002.02","409192.53","160893.22","440385.81","621093.06","555070.75","946722.06","300990.72","1379727.88","1301647.25","2499329","2016091.13","2528855.75","1912151.13","1759656.63","1420748.75","1693647.63","1747583.63","3081736.5","positive","Annotate in FrAnK","2-Aminoacrylic acid,2-Oxazolidinone,2-amino-4-cyano-butanoic acid,3-Isoxazolidinone,4-amino-4-cyano-butanoic acid,5,6-Dihydrothymine,Aminoacrylate,Dehydroalanine,Dihydrothymine,L-Cyclo(alanylglycyl),Squamolone,alpha-Amino-gamma-cyanobutanoate,gamma-Amino-gamma-cyanobutanoate,pyroglutamine","C00906,C02218,C05715,C05717,C06695,C20253,HMDB00079,HMDB03609,HMDB29874,HMDB31547,HMDB39426,HMDB62558,LMFA01100037,LMFA01100038"
"5","315.1273","902.1","198934.44","NA","306018.66","NA","NA","NA","NA","NA","NA","NA","265538.09","NA","263642.88","350670.59","900502.88","742384","988245.69","657000.38","437498.84","476594.19","405700.5","399801.56","1341911.88","positive","No Fragments","",""
"6","358.1639","903.1","325239.59","293762.84","426397.13","75484.08","NA","166589.05","27778.19","225756.98","272649.16","248440.98","389062.34","72989.67","455259.41","388585","733052.06","671677.81","897269.69","584747.31","548941.31","409357.53","471991","573618.63","777015","positive","No Fragments","(2S)-4'-Hydroxy-5,7,3'-trimethoxyflavan,2'-Hydroxy-3',4',6'-trimethoxydihydrochalcone,2'-O-Methylodoratol,2-(3,5-Dimethoxyphenyl)-3,4-dihydro-7-methoxy-2H-1-benzopyran-5-ol,2-Hydroxy-3,4,6-trimethoxydihydrochalcone,2-Hydroxy-4,5,6-trimethoxydihydrochalcone,4,2',6'-Trihydroxy-4'-methoxy-3',5'-dimethyldihydrochalcone,4-Hydroxy-5,7,4'-trimethoxyflavan,5'-Hydroxy-3',4',7-trimethoxyflavan,7-Hydroxy-2',3',4'-trimethoxyisoflavan,7-Hydroxy-2',4',5'-trimethoxyisoflavan,Alosetron,Combretastatin A-4,Deacetylcolchicine,Flavokawin A,Kuhlmanniquinol,Loureirin B,O-Methylodoratol,Sorgolactone,Verimol A,Verimol B","C09186,C09774,C16712,C20268,HMDB15104,HMDB38323,HMDB38324,HMDB38780,HMDB39510,HMDB39607,HMDB40534,LMPK12020173,LMPK12020260,LMPK12020279,LMPK12100071,LMPK12120544,LMPK12120550,LMPK12120558,LMPK12120573,LMPK12120604,LMPK12120609,LMPK12120610"
"7","380.1458","903.18","239889.09","232512.48","251032.88","NA","NA","148137.89","NA","228344.3","203574.22","211301.45","396902.56","140781.69","568784.06","265829.78","558702.69","639004.44","609178.69","598184.88","405769.88","458833.94","364077.78","507986.84","525549.19","positive","No Fragments","(2S)-4'-Hydroxy-5,7,3'-trimethoxyflavan,2'-Hydroxy-3',4',6'-trimethoxydihydrochalcone,2'-O-Methylodoratol,2-(3,5-Dimethoxyphenyl)-3,4-dihydro-7-methoxy-2H-1-benzopyran-5-ol,2-Hydroxy-3,4,6-trimethoxydihydrochalcone,2-Hydroxy-4,5,6-trimethoxydihydrochalcone,4,2',6'-Trihydroxy-4'-methoxy-3',5'-dimethyldihydrochalcone,4-Hydroxy-5,7,4'-trimethoxyflavan,5'-Hydroxy-3',4',7-trimethoxyflavan,7-Hydroxy-2',3',4'-trimethoxyisoflavan,7-Hydroxy-2',4',5'-trimethoxyisoflavan,Combretastatin A-4,Deacetylcolchicine,Flavokawin A,Kuhlmanniquinol,Loureirin B,O-Methylodoratol,Sorgolactone,Verimol A,Verimol B","C09186,C09774,C16712,C20268,HMDB38323,HMDB38324,HMDB38780,HMDB39510,HMDB39607,HMDB40534,LMPK12020173,LMPK12020260,LMPK12020279,LMPK12100071,LMPK12120544,LMPK12120550,LMPK12120558,LMPK12120573,LMPK12120604,LMPK12120609,LMPK12120610"
"8","402.1277","902.87","302484.78","212555.25","374096.19","94064.4","NA","205237.75","NA","232137.66","244720.45","261525.42","361415.31","169430.58","269653.53","258681.64","331869.47","342689.56","396457.09","415516.66","367467.81","352737.66","359563.25","275259.63","515562.19","positive","No Fragments","",""
"9","187.0304","902.94","79292","128338.7","156644.94","NA","NA","NA","NA","110747.76","NA","109069.15","166890.42","39381.52","170072.3","141798","302253.69","239220.81","324041.25","272124.5","202945.28","236809.8","150918.94","228484.53","242592.58","positive","No Fragments","Thien-2-ylacetonitrile","C03311"
"10","188.0931","435.2","282272256","82753368","629276160","35335972","NA","14363264","7448100.5","36617908","459903936","5790708","5078437","NA","5874697","6837394.5","6713407","6770025.5","7157780","5169197","4397589","7762059.5","10795852","10586096","16203860","positive","Annotate in FrAnK","",""
"11","208.1332","433.85","376962.09","225865.13","730873.19","164595.66","NA","107734.38","124711.52","133007.23","853001.44","85717.79","74360.91","NA","257256.69","181463.77","107281.59","116509.55","132384.38","103660.65","183389.89","180980.95","216651.81","158414.67","149172.08","positive","No Fragments","(+)-Bornane-2,5-dione,(+/-)-Asarinol A,(1R)-bornane-2,3-dione,(1R)-bornane-2,5-dione,(1S)-bornane-2,3-dione,(1S)-bornane-2,5-dione,(1xi,4xi,6xi)-Carvone oxide,(3E,8E)-suspensolide,(6E)-8-Oxogeranial,1,1-Dimethoxy-2-phenylethane,1,2:3,4-Diepoxy-p-menth-8-ene,1,4-Epidioxy-p-mentha-2,8-diene,1-(2,3-Dihydro-6,7-dimethyl-1H-pyrrolizin-5-yl)-2-hydroxy-1-propanone,2,4,7-Decatrienoic acid,2-(4-methoxyphenyl)propan-2-ol,2-Hydroxy-p-mentha-1,8-dien-6-one,2-Methoxy-4-propylphenol,2-tert-Butyl-1,4-benzenediol,2E,6E,8E-decatrienoic acid,2E,6Z,8E-decatrienoic acid,3-(Dimethylamino)propyl benzoate,3-Hydroxy-p-mentha-1,8-dien-7-al,4-(4-Hydroxyphenyl)-2-butanol,4-Butoxyphenol,4-Ethyl-1,2-dimethoxybenzene,4-n-Butylresorcinol,5-Hydroxy-p-mentha-6,8-dien-2-one,6-Pentyl-2H-pyran-2-one,Bornane-2,6-dione,Camphorquinone,Carvone oxide,Ciclopirox,Dolichodial,Epinepetalactone,Fenobucarb,Isobutyl N-methylanthranilate,Isomintlactone,Karahana lactone,Marmelolactone A,Myrtenic acid,Nepetalactone cis-trans-form,Nepetalactone trans-cis-form,O-Methylcorypalline,Oxocamphor,Pentyl 2-furyl ketone,Perilla ketone,Perillic acid,Piquerol A,Promecarb,Rotundifolone,Synephrine acetonide,Wine lactone,alpha-Teresantalic acid,bornane-2,3-dione,dolichodial","C03037,C09777,C09791,C09792,C09841,C09887,C09896,C11924,C11940,C14168,C14351,C14425,C14515,C17622,C17690,C17824,C18343,C18352,C18956,C20320,HMDB04586,HMDB15319,HMDB29370,HMDB29691,HMDB31085,HMDB32062,HMDB32135,HMDB32462,HMDB32615,HMDB34922,HMDB35063,HMDB35235,HMDB35328,HMDB36042,HMDB36084,HMDB36878,HMDB36879,HMDB37011,HMDB37012,HMDB37044,HMDB37697,HMDB39382,HMDB39939,HMDB40010,HMDB40176,HMDB41000,HMDB41584,HMDB62603,LMFA01030215,LMFA01030216,LMFA07040014,LMPR0102070013,LMPR0102070014,LMPR0102070037,LMPR0102090018,LMPR0102090041,LMPR0102120008,LMPR0102120024,LMPR0102120030,LMPR0102120032,LMPR0102120033,LMPR0102120034,LMPR0102120045"
"12","132.0767","884.45","73489000","53455140","80215912","61567780","6721979.5","92383232","76510712","129081240","89750968","69959768","102952608","51633104","384548128","337424128","380316192","368339456","434483008","382354560","358029952","360278720","357540384","346417984","364610688","positive","CREATINE (C4H9N3O2) Prob = 97.3800000000","3-Guanidinopropanoate,Beta-Guanidinopropionic acid,Creatine,Methylazoxymethanol,N-(Hydroxymethyl)urea,alpha-Hydroxy-NDMA","C00300,C02390,C03065,C06384,C20301,HMDB00064,HMDB13222"
"13","148.0604","878.1","22042522","8637619","10837097","7484136","1143536.38","16449819","8524576","13587425","11189904","11401554","20230154","13741332","36410072","35958232","40279396","45360872","44984452","39195776","36149644","35071404","34325756","37166408","39378396","positive","Annotate in FrAnK","2-Oxo-4-hydroxy-5-aminovalerate,3-(Carboxymethylamino)propanoic acid,3-Aminopentanedioate,D-2,3-Dihydroxypropanoic acid,D-Glutamate,D-Glutamic acid,D-Glycerate,DL-Glutamate,Glyceric acid,L-4-Hydroxyglutamate semialdehyde,L-Glutamate,L-Glutamic acid,L-Glyceric acid,L-threo-3-Methylaspartate,N-(Carboxymethyl)-D-alanine,N-Acetylserine,N-Methyl-D-aspartic acid,N-lactoyl-Glycine,O-Acetyl-L-serine,O-Acetylserine","C00025,C00217,C00258,C00302,C00979,C03618,C03790,C05574,C05938,C05941,C12269,HMDB00139,HMDB00148,HMDB02393,HMDB02931,HMDB03011,HMDB03339,HMDB06372,HMDB06556,HMDB31818,HMDB33550,HMDB60475,HMDB62183,Std1_1_20170612_135637_57"
"14","156.0768","906.44","8975403","5952759","9609360","2989519","434278.19","6804817.5","2207948.5","6484634.5","5976238.5","4739340","6997056","3918528.5","19022244","18411386","29528536","27050460","35921016","25630078","22038536","19324432","20560012","21922186","35860100","positive","His (C6H9N3O2) Prob = 68.3300000000","2,5-Dioxopiperazine,3-(Pyrazol-1-yl)-L-alanine,3-Cyano-L-alanine,5,6-Dihydrouracil,D-Histidine,Dihydrouracil,Histidine,L-2-Amino-3-(1-pyrazolyl)propanoic acid,L-3-Cyanoalanine,L-Histidine,Muscimol,N-Methylhydantoin","C00135,C00429,C00768,C01162,C02512,C02565,C02777,C06419,C08311,HMDB00076,HMDB00177,HMDB03646,HMDB34267,HMDB60245"
"15","203.0526","887.09","4418005.5","4324586","4680929.5","2674841.75","674158.81","4384594","1755362.25","4425170.5","3138505.25","3614262.25","4550950","3662790.75","7463501","6347463.5","14028269","10563510","13748526","9248151","9353393","7301766","6260746","9337832","14738905","positive","Annotate in FrAnK","2-Deoxy-D-gluconate,3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA,3-Deoxyarabinohexonic acid,Allose,Alpha-D-Glucopyranoside,Alpha-D-Glucose,Beta-D-Galactose,Beta-D-Glucose,D-Aldose,D-Allose,D-Altrose,D-Fructose,D-Fuconate,D-Galactose,D-Glucopyranoside,D-Glucose,D-Gulose,D-Hamamelose,D-Hexose,D-Idose,D-Mannose,D-Psicose,D-Sorbose,D-Tagatose,D-Talose,D-chiro-Inositol,Dihydroxyacetone (dimer),Fructose(pyranose),Fructose-1P,Galactose,Glycoprotein-phospho-D-mannose,L-Fructose,L-Fuconate,L-Galactose,L-Gulose,L-Rhamnonate,L-Sorbose,Levoinositol,Myoinositol,Scyllitol,Sorbose,alpha-D-Galactose,alpha-D-Glucose,alpha-D-Mannose,alpha-L-Sorbopyranose,beta-D-Fructose,beta-D-Galactose,beta-D-Glucose,beta-D-Hamamelopyranose,beta-D-Mannose,muco-Inositol,myo-Inositol,scyllo-Inositol","C00031,C00095,C00124,C00137,C00159,C00221,C00247,C00267,C00737,C00738,C00764,C00795,C00936,C00962,C00984,C01452,C01487,C01582,C01680,C01719,C01720,C01825,C01906,C01934,C02209,C02336,C02782,C05003,C06152,C06153,C06464,C06465,C06466,C06467,C06468,C08351,C08356,C10906,C15923,C19891,HMDB00122,HMDB00143,HMDB00169,HMDB00211,HMDB00346,HMDB00516,HMDB00660,HMDB01151,HMDB01266,HMDB03345,HMDB03418,HMDB03449,HMDB06088,HMDB12326,HMDB32222,HMDB33704,HMDB34220,HMDB61922,HMDB62170,HMDB62202,HMDB62473,HMDB62538"
"16","178.0587","890.67","621189","472288.53","657981.38","171518.89","10932.78","732477.56","153707.73","880187.06","493187.19","348845.19","832512.44","301259.53","1713487.88","1625177.63","4072022","2920289","4749063.5","2909583.25","2384173.25","1596244.75","1873008.25","2411963.5","5719450","positive","Annotate in FrAnK","2,5-Dioxopiperazine,3-(Pyrazol-1-yl)-L-alanine,3-Cyano-L-alanine,5,6-Dihydrouracil,D-Histidine,Dihydrouracil,Histidine,L-2-Amino-3-(1-pyrazolyl)propanoic acid,L-3-Cyanoalanine,L-Histidine,Muscimol,N-Methylhydantoin","C00135,C00429,C00768,C01162,C02512,C02565,C02777,C06419,C08311,HMDB00076,HMDB00177,HMDB03646,HMDB34267,HMDB60245"
"17","244.079","882.95","1256859.75","1305990","1280048.88","728608","180588.36","1257968.5","495376.88","1150112.5","990682.81","974307.88","1301510","1003073.25","1466005.38","1309205.25","3226220.25","2166803.75","2529874.75","1786245.25","1727286.13","1455128.88","1444668.5","1980456.75","2871926.25","positive","Annotate in FrAnK","2-Deoxy-D-gluconate,3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA,3-Deoxyarabinohexonic acid,Aldehydo-N-acetyl-D-glucosamine,Aldehydo-N-acetyl-D-mannosamine,Allose,Alpha-D-Glucopyranoside,Alpha-D-Glucose,Avenic acid B,Beta-D-Galactose,Beta-D-Glucose,Beta-N-Acetylglucosamine,D-Aldose,D-Allose,D-Altrose,D-Fructose,D-Fuconate,D-Galactose,D-Glucopyranoside,D-Glucose,D-Gulose,D-Hamamelose,D-Hexose,D-Idose,D-Mannose,D-Psicose,D-Sorbose,D-Tagatose,D-Talose,D-chiro-Inositol,Dihydroxyacetone (dimer),Fructose(pyranose),Fructose-1P,Galactose,Glycoprotein-phospho-D-mannose,L-Fructose,L-Fuconate,L-Galactose,L-Gulose,L-Rhamnonate,L-Sorbose,Levoinositol,Myoinositol,N-Acetyl-D-galactosamine,N-Acetyl-D-glucosamine,N-Acetyl-D-hexosamine,N-Acetyl-D-mannosamine,N-Acetyl-alpha-D-glucosamine,N-Acetyl-b-D-galactosamine,N-Acetyl-beta-D-galactosamine,N-Acetyl-beta-D-glucosamine,N-Acetylgalactosamine,N-Acetylhexosamine,N-Acetylmannosamine,N-Acetylmannosamine-6P,Scyllitol,Sorbose,alpha-D-Galactose,alpha-D-Glucose,alpha-D-Mannose,alpha-L-Sorbopyranose,beta-D-Fructose,beta-D-Galactose,beta-D-Glucose,beta-D-Hamamelopyranose,beta-D-Mannose,muco-Inositol,myo-Inositol,scyllo-Inositol","C00031,C00095,C00124,C00137,C00140,C00159,C00221,C00247,C00267,C00645,C00737,C00738,C00764,C00795,C00936,C00962,C00984,C01132,C01452,C01487,C01582,C01680,C01719,C01720,C01825,C01906,C01934,C02209,C02336,C02711,C02782,C03136,C03878,C05003,C05021,C06152,C06153,C06464,C06465,C06466,C06467,C06468,C08351,C08356,C10906,C15923,C19891,C20328,HMDB00122,HMDB00143,HMDB00169,HMDB00211,HMDB00212,HMDB00215,HMDB00346,HMDB00516,HMDB00660,HMDB00803,HMDB00853,HMDB01129,HMDB01151,HMDB01266,HMDB03345,HMDB03418,HMDB03449,HMDB06088,HMDB12326,HMDB32222,HMDB33704,HMDB34220,HMDB38751,HMDB61922,HMDB62170,HMDB62202,HMDB62473,HMDB62500,HMDB62538,HMDB62641,HMDB62724"
"18","148.0039","885.21","802405.38","587532.94","765586.63","919434.38","87545.33","1285760.5","1022192.25","1752068.88","1527016","1043972.56","1362110.63","745583.13","2051111.75","2141428.75","1892284.88","2493183.75","2080313.88","2102116.75","1944976.88","2169527.25","2138625","2050505.25","1907843.38","positive","No Fragments","Taurine","C00245,HMDB00251"
"19","198.0972","880.96","555521.56","377725.41","472532.53","244897.92","35965.51","472689.97","193754.03","452897.03","394370.47","332158.38","466484.31","355878.97","548120.56","633323.44","1159815.75","1077764.63","1218535.5","738433.69","695702.44","588642.63","628726.69","909361.56","1411194.13","positive","No Fragments","",""
"20","193.0948","887.59","807144.38","773299.56","863976.31","596866.38","128307.26","674631","388463.34","771942.5","624779.44","584291.06","831673.94","610239.06","1010599.75","936242.13","1052332.5","1277366.63","1245159.88","1105513.88","1022844.13","1021834.31","921873.38","1073197.13","1181549","positive","Annotate in FrAnK","(2E)-Decenoyl-ACP,(3xi,6xi)-Cyclo(alanylvalyl),1-Aminocyclopentanecarboxylate,2-Pyrrolidineacetic acid,3-Acetamidobutanal,D-Pipecolic acid,L-Pipecolate,L-Pipecolic acid,L-trans-4-Methyl-2-pyrrolidinecarboxylic acid,Levetiracetam,N4-Acetylaminobutanal,Pipecolic acid,Vigabatrin,trans-3-Aminocyclopentane-1-carboxylic acid","C00408,C03969,C05936,C07500,C07841,C13696,HMDB00070,HMDB00716,HMDB04226,HMDB05960,HMDB15212,HMDB15333,HMDB29435,HMDB29444,HMDB33926,HMDB59649,HMDB62225"
"21","167.0485","884.49","211720.13","114050.28","177473.91","225899.97","13652.33","306579.22","228439.88","426899.31","362335.09","264080.63","274540.16","174397.11","633622.63","584953.38","478343.66","668180","536596.19","606723.06","618423.94","741242.5","645597.94","569647.56","520371.78","positive","No Fragments","Taurine","C00245,HMDB00251"
"22","251.0364","884.67","NA","NA","NA","36884.43","NA","92268.8","58093.3","202759.48","156843.61","NA","109753.23","NA","492771.81","497520.38","376957.59","475052.44","481251.03","482011.5","441649.16","476980.03","507087.28","389946.47","317545.91","positive","No Fragments","",""
"23","219.0265","887.9","203526.39","201669.42","214114.48","142234.77","56020.96","235892.19","137492.03","303689.91","162943.94","186173.72","214069.8","175726.16","264024.84","273192.13","345183.03","439265.72","418147.78","305033.5","317300.75","327963.47","276924.63","344926","449470.63","positive","No Fragments","2-Deoxy-D-gluconate,3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA,3-(3,4-Dihydroxyphenyl)pyruvate,3-Deoxyarabinohexonic acid,3-Methoxy-4,5-methylenedioxybenzoic acid,4-Hydroxy-benzenepropanedioate,Allose,Alpha-D-Glucopyranoside,Alpha-D-Glucose,Beta-D-Galactose,Beta-D-Glucose,D-Aldose,D-Allose,D-Altrose,D-Fructose,D-Fuconate,D-Galactose,D-Glucopyranoside,D-Glucose,D-Gulose,D-Hamamelose,D-Hexose,D-Idose,D-Mannose,D-Psicose,D-Sorbose,D-Tagatose,D-Talose,D-chiro-Inositol,Dihydroxyacetone (dimer),Fructose(pyranose),Fructose-1P,Galactose,Glycoprotein-phospho-D-mannose,L-Fructose,L-Fuconate,L-Galactose,L-Gulose,L-Rhamnonate,L-Sorbose,Levoinositol,Myoinositol,Scyllitol,Sorbose,alpha-D-Galactose,alpha-D-Glucose,alpha-D-Mannose,alpha-L-Sorbopyranose,beta-D-Fructose,beta-D-Galactose,beta-D-Glucose,beta-D-Hamamelopyranose,beta-D-Mannose,muco-Inositol,myo-Inositol,scyllo-Inositol","C00031,C00095,C00124,C00137,C00159,C00221,C00247,C00267,C00737,C00738,C00764,C00795,C00936,C00962,C00984,C01452,C01487,C01582,C01680,C01719,C01720,C01825,C01906,C01934,C02209,C02336,C02782,C04045,C05003,C06152,C06153,C06464,C06465,C06466,C06467,C06468,C08351,C08356,C10906,C15923,C19891,HMDB00122,HMDB00143,HMDB00169,HMDB00211,HMDB00346,HMDB00516,HMDB00660,HMDB01151,HMDB01266,HMDB03345,HMDB03418,HMDB03449,HMDB06088,HMDB12326,HMDB30800,HMDB32222,HMDB33704,HMDB34220,HMDB59809,HMDB61922,HMDB62170,HMDB62202,HMDB62473,HMDB62538"
"24","164.0918","880.56","152520.38","121008.71","154061.64","79651.3","43149.18","112647.16","66576.91","86709.16","136669.02","85187.04","165749.17","76298.85","162890.41","177058.67","286589.25","288157.63","331248.44","252797.45","237937.73","231809.61","189836.84","214808.33","375695.69","positive","No Fragments","1-Deoxynojirimycin,2-Amino-4-ethoxy-3-hydroxybutanoic acid,2-Deoxy-scyllo-inosamine,Bicine,D-Fucosamine,D-Quinovosamine,D-Threitol,DMDP,Deoxymannojirimycin,Deoxynojirimycin,Erythritol,N,N-Dihydroxy-L-isoleucine","C00503,C10141,C10143,C15478,C15479,C16843,C16884,C17580,C20311,HMDB02994,HMDB04136,HMDB11727,HMDB32862,HMDB35359"
"25","143.0485","885.09","76761.78","71852.95","106290.72","95892.8","NA","231049.84","122293.73","231872.14","144461.41","107196.95","121103.34","91431.17","265180.09","267675.41","167372.88","324391.56","269718.5","322486.97","285891.16","259987.2","340896.63","266841.75","255218.56","positive","No Fragments","",""
"26","116.0706","771.09","108299496","99441512","149953184","34156712","11504764","127747840","26977298","115154664","49855016","84859456","77691152","68165712","146273216","146624352","286839456","202933184","336000672","210416272","178187696","152752736","127614296","171599776","369869632","positive","L-Proline (C5H9NO2) Prob = 83.4100000000","(R)-Lactaldehyde,(S)-Lactaldehyde,3-Acetamidopropanal,3-Hydroxypropanal,4-Amino-2-methylenebutanoic acid,Acetamidopropanal,D-Lactaldehyde,D-Proline,Ethyl formate,Glycidol,Hydroxyacetone,L-Proline,Lactaldehyde,Methyl acetate,Proline,Propanoate,Propionic acid,Pterolactam","C00148,C00163,C00424,C00763,C00937,C00969,C05235,C05999,C10920,C16435,C17530,C18170,HMDB00162,HMDB00237,HMDB03052,HMDB03411,HMDB03453,HMDB06458,HMDB06961,HMDB12880,HMDB30409,HMDB31229,HMDB31523,HMDB34208,LMFA01010003,Std1_1_20170612_135637_21"
"27","170.0924","774.32","897146.38","697204.06","1318887.25","241705.84","115698.96","591569.63","146937.86","510831.94","371944.22","627206.31","718326.56","403594.94","1742619.75","1810230","3958276","2487703.25","4436105.5","2772917.5","2606266.75","1847700.25","1921256.5","1974454.63","5143238.5","positive","No Fragments","1-Methylhistidine,2-amino-4-cyano-butanoic acid,3-Methylhistidine,4-amino-4-cyano-butanoic acid,5,6-Dihydrothymine,Dihydrothymine,L-Cyclo(alanylglycyl),N(pi)-Methyl-L-histidine,Nalpha-Methylhistidine,Squamolone,alpha-Amino-gamma-cyanobutanoate,gamma-Amino-gamma-cyanobutanoate,pyroglutamine","C00906,C01152,C03298,C05715,C05717,HMDB00001,HMDB00079,HMDB00479,HMDB29874,HMDB31547,HMDB62558,LMFA01100037,LMFA01100038"
"28","327.1583","771.31","316759.69","249480.75","424020.81","81042.48","NA","355115.56","73624.19","237781.36","75186.78","208360.8","169734.61","199781.61","194403.67","225626.63","431532.25","318891.84","748237.69","387200","362156.91","273361.22","228941.28","230871.41","883196.75","positive","No Fragments","(+)-Acutifolin A,(+)-Galeon,1,2-Dihydrodehydroguaiaretic acid,1-(4-Hydroxy-3-methoxyphenyl)-7-phenyl-3,5-heptanedione,2',4',6'-Trihydroxy-3'-prenyldihydrochalcone,2',6'-Dihydroxy-4'-prenyloxydihydrochalcone,5,5-Diisopropyl-2,2'-dimethylbiphenyl-3,3',4,4'-tetrone,8-(3,3-Dimethylallyl)spatheliachromene,Broussinol,Cyclomillinol,Dehydrodieugenol,Gingerenone C,Licarin A,Pulverochromenol,Uncinatone","C09002,C09031,C09976,C10550,C10650,HMDB31534,HMDB33710,HMDB34720,HMDB36409,HMDB40762,LMPK12020005,LMPK12020281,LMPK12080006,LMPK12120482,LMPK12120484"
"29","160.0345","771.75","86014.53","61559.46","153161.3","NA","NA","108722.84","NA","84313.18","NA","54800.32","NA","53394.2","94721.54","90238.65","201257.3","95367.32","225651.94","151473.77","133701.98","86565.59","74352.45","86312.47","271534.28","positive","No Fragments","",""
"30","203.1392","772.18","143132.75","63491.3","107192.02","34668.46","NA","65140.92","33735.98","68550.52","66518.45","78682.25","91025.36","63489.95","143580.36","132462.03","207336.41","195214.86","214954.98","160373.3","172169.61","105452.47","132632.47","128383.02","270793.53","positive","No Fragments","(S)-Carnitine,Alanyl-Isoleucine,Alanyl-Leucine,Isoleucyl-Alanine,L-Carnitine,Leucyl-Alanine,Malonyl-Carnitin","C00318,C15025,HMDB00062,HMDB28690,HMDB28691,HMDB28900,HMDB28922,HMDB62496"
"31","194.048","769.64","60903.24","70055.67","101018.18","27405.5","NA","66113.97","25548.6","86753.14","38197.25","51817.13","57474.69","41350.09","75483.77","100511.25","149926.31","168803.2","144538.88","148868.44","154814.56","86101.62","103819.68","120741.2","216078.25","positive","No Fragments","",""
"32","175.119","1553.22","106883688","92614480","108928488","57521232","15639309","107970832","44482852","103611776","87847824","87270600","109428872","79716480","115118880","105935128","187075616","141873264","180570720","141223376","116932600","115649776","110066512","128623280","200099328","positive","Arginine (C6H14N4O2) Prob = 98.9700000000","Amino acid(Arg-),D-Arginine,L-Arginine","C00062,C00792,C02385,HMDB00517,HMDB03416"
