"Peak id","Mass","RT","24_U1.mzXML","24_U2.mzXML","24_U3.mzXML","24_U4.mzXML","24_INFEC_1.mzXML","24_INFEC_2.mzXML","24_INFEC_3.mzXML","24_INFEC_4.mzXML","24_HK1.mzXML","24_HK2.mzXML","24_HK3.mzXML","24_HK4.mzXML","24_SOR_UN1.mzXML","24_SOR_UN2.mzXML","24_SOR_UN3.mzXML","24_SOR_UN4.mzXML","24_SOR_IN2.mzXML","24_SOR_INF1.mzXML","24_SOR_INF3.mzXML","24_SOR_HK1.mzXML","24_SOR_HK2.mzXML","24_SOR_HK3.mzXML","24_SOR_HK4.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","KEGG ID"
"3162","400.8681","465.18","502944.47","557901.5","462833.41","558545.06","606851.31","539358.31","607228.69","519330.16","456989.56","563936.69","570938.63","590365.13","568385.25","653715.25","574865","615828.81","580906.88","639823.13","686115.75","634456.94","703641.63","562590.19","578722.06","negative","Annotate in FrAnK","",""
"3163","347.8861","466.93","190049.02","235631.17","187866.06","222646.78","279425.03","209525","253323.8","231970.23","205539.03","245125.77","205318.14","274114.13","170999.41","215569.03","193814.61","197472.7","174115.03","207669.98","219647.83","197164.11","230374.94","200301.69","166328.08","negative","No Fragments","",""
"3164","367.8823","469.25","149199.66","163624.52","133035.17","155901.61","185075.3","144976.8","166941.14","134948.72","123651.96","159415.3","152660.59","179311.55","132747.98","173631.77","130235.05","169905.16","139158.23","181294.53","177365.06","176798.61","181700.91","157800.13","118108.73","negative","No Fragments","",""
"3165","188.9394","461.88","1563478.88","1573581.25","1419093","1600516","1674412.25","1606536.25","1676318.88","1572262.75","1455771.75","1622122.38","1617796.63","1588593.38","1594922.13","1744314.13","1563964.75","1611774","1557202.13","1663511.38","1714858.25","1612827.13","1774480.75","1684837","1546294.13","negative","Annotate in FrAnK","",""
"3166","209.828","464.87","106138.92","126775.99","99146.24","118410.22","129833.01","112424.64","109803.27","100971.21","102415.95","109272.55","116208.85","112996.19","147665.45","147747.31","130987.13","137426.7","166047.45","142165.55","134845.92","142276.31","185391.03","166475.64","186659.14","negative","No Fragments","",""
"3167","89.0244","826.2","959010.56","884617.25","1098811.38","476583.69","220122.34","1411653.75","818738.88","683728.38","752156.5","843755.63","1082646.38","620643.56","775088.5","910892.81","1358498","1158930.75","1614751","1177334.63","1085561.38","826994.56","953399.94","948937.69","1754446.88","negative","No Fragments","(R)-Lactate,(S)-Lactate,3-Hydroxypropanoate,D-Glyceraldehyde,D-Lactic acid,Dihydroxyacetone,Dimethyl carbonate,Glyceraldehyde,Glycerone,Hydroxypropionic acid,L-Glyceraldehyde,L-Lactic acid,Lactate,Methoxyacetic acid,Monoethyl carbonate","C00184,C00186,C00256,C00577,C01013,C01432,C02154,C02426,HMDB00190,HMDB00700,HMDB01051,HMDB01311,HMDB01882,HMDB29580,HMDB31232,HMDB41929"
"3168","113.0244","824.59","752422.06","594689","793183.75","484561.47","225322.02","1009362.94","778708.13","547107.5","543753.94","612068.56","748150.38","570620.63","711141.25","781354.25","1203074.25","1066753.13","1429525.5","1085893.25","1028861.19","754410.69","880407.69","830350.69","1605544.13","negative","No Fragments","2-Hydroxy-2,4-pentadienoate,3-oxo-4-pentenoic acid,Norfuraneol,cis-Acetylacrylate","C00596,C07091,HMDB31859,HMDB60461,LMFA01060166"
"3169","161.0456","832.56","645275.94","652030.56","773494","389357.38","243041","960710.06","679998.25","748316.69","638081.81","538763.56","700789.69","531677.25","602349.81","656380.31","987238.63","753377.75","1069015.75","739329.88","726566.56","641294.63","807145.88","660481.38","1170286.75","negative","3-Hydroxy-3-methylglutarate (C6H10O5) Prob = 57.8400000000","(2R,3S)-2,3-Dimethylmalate,(R)-2-Ethylmalate,(R)-3,3-Dimethylmalate,(S)-2-(Hydroxymethyl)glutarate,1,5-Anhydro-D-fructose,2(R)-Hydroxyadipic acid,2-Dehydro-3-deoxy-D-fuconate,2-Dehydro-3-deoxy-L-fuconate,2-Dehydro-3-deoxy-L-rhamnonate,2-Deoxy-scyllo-inosose,2-Hydroxy-2-ethylsuccinic acid,2-Hydroxyadipate,2-Hydroxyadipic acid,2S-hydroxyadipic acid,3,6-Anhydrogalactose,3,6-Anhydroglucose,3-Ethylmalate,3-Hydroxy-3-methylglutarate,3-Hydroxyadipic acid,3-Hydroxymethylglutaric acid,3-hydroxy-adipic acid,3-hydroxymethyl-glutaric acid,D-1,5-Anhydrofructose,D-1-Deoxy-erythro-hexo-2,3-diulose,D-Fucono-1,4-lactone,Diethyl dicarbonate,Diethyl pyrocarbonate,L-Fucono-1,5-lactone,L-Rhamnono-1,4-lactone,Levoglucosan,Lichenin","C00478,C01088,C01989,C02360,C02488,C02991,C03652,C03761,C03827,C03979,C06158,C06159,C06474,C06478,C06485,C11592,C16390,C17209,C18028,HMDB00321,HMDB00345,HMDB00355,HMDB00368,HMDB00640,HMDB29934,HMDB32873,HMDB41561,HMDB59758,LMFA01170049,LMFA01170050,LMFA01170088,LMFA01170091"
"3170","149.0455","813.47","138936.58","109230.66","151584.27","50108.75","20678.66","105696.86","57427.28","100341.33","104358.88","108960.7","144359.42","78962.18","95222.7","106518.67","150703.28","147612.42","202401.05","146568.81","139834.63","93475.77","114778.48","92888.26","213673.39","negative","No Fragments","2-Deoxypentonic acid,2-Deoxyribonic acid,2-deoxy-ribonic acid,Aldehydo-D-xylose,Arabinofuranose,Arabinose,Beta-D-ribopyranose,D-Apiose,D-Arabinose,D-Lyxose,D-Ribose,D-Ribulose,D-Xylose,D-Xylulose,L-Arabinofuranose,L-Arabinose,L-Lyxose,L-Ribulose,L-Threo-2-pentulose,L-Xylose,L-Xylulose,Ribulose,Xylose,alpha-D-Lyxose,alpha-D-Ribulose,alpha-D-Xylose,alpha-L-Arabinose,beta-D-Apiose,beta-D-Ribofuranose,beta-D-Ribopyranose,beta-D-Xylose,beta-L-Arabinofuranose,beta-L-Arabinose","C00121,C00181,C00216,C00259,C00309,C00310,C00312,C00476,C00508,C01394,C01488,C01508,C01510,C02096,C02204,C02205,C02479,C02604,C05052,C06115,C08346,C08353,C08354,C11476,C16639,C20569,HMDB00098,HMDB00283,HMDB00366,HMDB00621,HMDB00646,HMDB00751,HMDB01644,HMDB03371,HMDB12194,HMDB12325,HMDB29941,HMDB29942,HMDB59753,HMDB60254,LMFA01050386,Std3_1_20170612_140021_16"
"3171","173.0931","814.5","64276.55","40191.55","53763.92","39951.72","NA","45632.15","20906.58","34984.36","36103.99","46649.07","52133.57","37325.38","70868.17","75942.68","137236","101371.66","153787.78","105163.59","94912.02","79172.25","76848.18","69373.88","167062.56","negative","No Fragments","Glycyl-Valine,L-Theanine,N(5)-ethyl-L-glutamine,N-Acetylornithine,N5-Ethyl-L-glutamine,Valyl-Glycine","C00437,C01047,HMDB03357,HMDB28854,HMDB29127,HMDB34365,HMDB62764"
"3172","95.0139","823.53","62853.7","75732","74866.56","48587.59","16555.16","125633.71","58309.85","85294.42","48465.59","51707.23","77718.49","36944.63","73550.95","90026.48","127186.77","107709.22","158160.63","118677.96","117894.59","81910.32","95173.98","77836.38","161615.67","negative","No Fragments","2-Furancarboxaldehyde,Furfural,Protoanemonin","C07090,C14279,HMDB32914,HMDB60503"
"3173","125.0244","816.36","37148.6","34987.84","52618.04","23543.07","9427.85","37399.88","50602.81","32474.35","44498.25","31171.88","52199.21","22874.35","38721.09","45836.14","66974.99","55614.35","66268.81","59671.42","63135.11","43194.7","53695.23","45607.09","82924.27","negative","No Fragments","(Z)-Tamarindienal,1,2,3-Trihydroxybenzene,1,3,5-Trihydroxybenzene,4-Hydroxy-2H-pyran-3-carboxaldehyde,5-Hydroxymethyl-2-furaldehyde,5-Hydroxymethyl-2-furancarboxaldehyde,5-Methylfuran-2-carboxylic acid,Benzene-1,2,4-triol,Maltol,Methyl 2-furoate,Phloroglucinol,Triacetate lactone","C01108,C02183,C02752,C02814,C11101,C11918,HMDB13674,HMDB13675,HMDB29750,HMDB30776,HMDB31256,HMDB32651,HMDB34355,HMDB59735"
"3174","194.9059","1689.41","888018.38","763002.31","756342.94","721110.81","828388.13","930606.13","853195","936261.38","831283","717722.06","797971.69","778721.13","1348156","1619888.75","1500436.88","1391567.13","1673642.5","1632013.75","1753865.38","1626224.5","1549411","1476463.5","1683406.75","negative","Annotate in FrAnK","",""
"3175","195.9059","1687.31","143660.97","129050.26","133698.14","115755.27","142303.2","149580.78","150550.61","152312.75","144765.77","131032.55","133177.11","135921.11","219935.58","287703.31","248890.34","231380.7","286948.75","267327.81","283114.47","278660.44","247251.23","242009.34","267084.09","negative","No Fragments","",""
"3176","272.8833","1688.16","54704.63","55780.93","48385.2","43217.22","53721.61","54199.09","52870.6","53729.46","58435.54","47602.9","47619.95","51076.51","96164.24","130193.88","92837.84","105640.74","121029.29","134985.83","133664.19","124771.83","121725.78","101253.91","101080.81","negative","No Fragments","",""
"3177","272.8833","1699.24","54704.63","55780.93","43999.67","43217.22","53721.61","54199.09","52870.6","53729.46","58435.54","47602.9","47619.95","51076.51","96164.24","130193.88","90917.35","105640.74","113988.02","126584.86","133664.19","124771.83","121725.78","101253.91","97625.59","negative","No Fragments","",""
"3178","96.9697","902.63","915905.25","932697.38","759133.88","1132671.63","298268.31","1207335.25","1336238","1359425","1743501.88","846923.88","1340324.38","731658.44","868762.56","803515.13","735286.06","1152299","824846.75","869319.25","808038.06","913120.88","1033955.63","864795","751008.81","negative","No Fragments","Orthophosphate,Phosphoric acid","C00009,HMDB02142,Std3_1_20170612_140021_18"
"3179","199.0378","657.45","563502.94","582050.31","1321832.38","187721.41","NA","337188.06","69384.73","134364.64","668242.81","402067.69","332163.66","216575.28","329261.84","271331.03","395526.34","425944.03","950297.44","510487.56","891971.81","1024001.81","1742010.75","882328.69","1550100.63","negative","Annotate in FrAnK","Potassium 2-(1'-ethoxy) ethoxypropanoate","HMDB37192"
"3180","237.1246","269.44","870944.94","1300190.63","1135412.38","1592925.5","348709.94","1310346.5","1370602.88","1739898.88","1638834.88","1377093.75","1469908.75","896605.63","1603715.5","1493552.5","1531275","1714312.75","1641847","1450278.63","1613292.88","1623743.38","1649529.5","1554901.5","1278624.63","negative","Annotate in FrAnK","Secobarbital","HMDB14562"
"3181","114.056","776.49","613662.63","468139.38","718376.19","189397.02","70942.49","678243.19","194536.83","563729.5","303607.94","414115.38","487980.56","296948.22","750317","754797.81","1487839.13","847655","1699692.88","1035445.38","1073772.38","721161.38","690590.38","697269.75","1736667.88","negative","No Fragments","3-Acetamidopropanal,4-Amino-2-methylenebutanoic acid,Acetamidopropanal,D-Proline,L-Proline,Proline,Pterolactam","C00148,C00763,C16435,C18170,HMDB00162,HMDB03411,HMDB12880,HMDB30409,HMDB34208,Std1_1_20170612_135637_21"
"3182","180.0668","783.04","502131","452082.38","680728.38","191227.75","51538.98","541945.19","197561.67","497677.63","436297.38","377957.44","530087.75","327861.5","596495.88","639283.94","1227013.25","820150.31","1503405.5","898579.13","847520.25","591408.38","626173.75","654418.75","1587086.88","negative","Annotate in FrAnK","3-Amino-3-(4-hydroxyphenyl)propanoate,4,6,7-Trihydroxy-1,2,3,4-tetrahydroisoquinoline,4-Hydroxy-4-(3-pyridyl)-butanoic acid,Beta-Tyrosine,D-Tyrosine,DL-Tyrosine,L-Threo-3-Phenylserine,L-Tyrosine,L-threo-3-Phenylserine,Meta-Tyrosine,N-Hydroxy-L-phenylalanine,gamma-Hydroxy-3-pyridinebutanoate,o-Tyrosine","C00082,C01536,C03290,C04368,C06420,C19579,C19712,HMDB00158,HMDB01119,HMDB02184,HMDB03831,HMDB06050,HMDB59720,HMDB60280,Std2_1_20170612_135749_27"
"3183","131.89","770.65","387160.06","415087.63","350186.09","415572.97","NA","353530.97","266694.16","320845.22","311021.38","397651.88","400814.59","419254.31","773930.81","799603.13","744335.63","721883.81","922584.25","677978.56","773132.25","773360.5","634129.75","790404.56","793002.38","negative","No Fragments","",""
"3184","172.0148","780.9","26534.81","46976.36","54070.74","NA","NA","26794.99","NA","NA","NA","40881.71","NA","NA","191987.42","192799.28","235769.81","88639.47","229472.5","196615.05","267526","210087.09","104864.85","131386.94","215821.17","negative","No Fragments","",""
"3185","174.0118","781.35","NA","NA","30765.38","NA","NA","NA","NA","NA","NA","NA","NA","NA","64398.75","67319.37","88074.19","41433.23","88061.98","54308.05","91548.49","63635.87","37651.37","45176.24","71364.73","negative","No Fragments","",""
"3186","199.0613","433.86","1227120.88","1069497.63","1349339.63","1359634","117832.3","1212845.63","1112401.5","1320830.63","1735364","1083297.25","1184552.88","818939.69","992146.5","1151330.88","704538.81","1161347.25","1209508.25","1157561.63","1120267.5","892735.31","1240207.63","1223927.38","1115392.5","negative","Annotate in FrAnK","(Z)-3-(1-Formyl-1-propenyl)pentanedioic acid","HMDB33091"
