"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",3886.04339509339,-0.153094940093427,0.132609796167191,-1.15447685252762,0.248304723194654,0.468738508071541
"ENSMUSG00000000028",52.2237747117186,0.463946716821307,0.277810801974558,1.67000963793983,0.0949174567457707,0.235385113913775
"ENSMUSG00000000031",0.12511761665113,-0.0214620468456258,4.08045587181216,-0.00525971791384532,0.99580337163207,NA
"ENSMUSG00000000037",0.899339126713336,-0.191317529430253,2.65779752581536,-0.0719834854130059,0.942615050484671,0.971221769811562
"ENSMUSG00000000049",1.1069567371015,1.33036996870254,2.2101841060377,0.601927217315645,0.547222586150014,0.741778669405974
"ENSMUSG00000000056",393.565292579284,0.450643784146815,0.147921393189559,3.04650851665061,0.00231515920392524,0.0142768150908723
"ENSMUSG00000000058",1725.71954832247,-0.139540456206936,0.272476448884444,-0.51211932913187,0.608567497462044,0.793842406182239
"ENSMUSG00000000078",9936.23426483733,-0.21815847579726,0.0637696310559369,-3.42104026924505,0.00062382094696426,0.00461627500753553
"ENSMUSG00000000085",485.453806061499,0.0334470960293456,0.124361500668474,0.268950566289079,0.787967723775682,0.915751750076519
"ENSMUSG00000000088",4414.46795027079,-0.246747632579147,0.10068997415445,-2.45056803968045,0.0142631003377887,0.0625278095376992
"ENSMUSG00000000093",2.83957570596788,-1.52390981513272,1.26676664825328,-1.20299174061301,0.228979516741516,0.442183826692907
"ENSMUSG00000000125",0.472776912017465,-1.96239584668303,3.89980115185099,-0.503204078944282,0.614820797314664,NA
"ENSMUSG00000000126",9.44760244763443,-0.251707755744129,1.03523663693235,-0.243140308953901,0.807896705917921,0.927101227120018
"ENSMUSG00000000127",733.543137324208,-0.0487727246871033,0.151523650850596,-0.321881926770586,0.747542145486495,0.894402973870724
"ENSMUSG00000000131",1781.15941111962,-0.0326646345076034,0.0887566134323557,-0.36802479549874,0.712854745591802,0.871135351672434
"ENSMUSG00000000134",4714.48050815487,-0.269635653062372,0.0839184698106288,-3.21306684536592,0.00131325721106829,0.00859253834790363
"ENSMUSG00000000142",1.48243387215797,-1.98754511544075,2.67109830214419,-0.74409283770847,0.456820312058252,0.66649651207237
"ENSMUSG00000000148",295.76233077786,0.363294341906257,0.151143552163526,2.40363771200242,0.0162328516672181,0.0688779256521869
"ENSMUSG00000000149",9843.65433979797,0.525284673691921,0.10654171372947,4.9303193585352,8.20952985990866e-07,1.39469106090206e-05
"ENSMUSG00000000154",79.1165385457194,0.254992099128848,0.255445117521493,0.998226552940057,0.318169513428124,0.533164492610535
"ENSMUSG00000000157",2.07343955890264,-0.808597696328685,1.64780271634306,-0.490712685632167,0.623629672938585,0.803422628785782
"ENSMUSG00000000167",16.7629310886731,-0.0391591486016831,0.545543631206869,-0.0717800490403564,0.942776950416933,0.971221769811562
"ENSMUSG00000000168",873.829728149462,0.232995537443985,0.100672452279258,2.31439219139783,0.0206462188301078,0.0802426572178559
"ENSMUSG00000000171",4109.00761272076,0.134101013226572,0.0852483410323906,1.57306302506954,0.115704225428885,0.268910574175173
"ENSMUSG00000000184",104.65091978739,-1.1910496049013,0.254356232655815,-4.68260436343617,2.83252891934389e-06,3.91058097073596e-05
"ENSMUSG00000000194",1308.35548714978,-0.192101730449406,0.0915589422043177,-2.09812090249713,0.0358944665316851,0.11773894163762
"ENSMUSG00000000202",1.04658313550737,2.37425077853069,2.79072363491221,0.850765281387449,0.394899751321093,0.6067811793555
"ENSMUSG00000000204",2.92244828640618,-0.225125989212078,1.22130404846838,-0.184332467819463,0.853752644676675,0.94435608551808
"ENSMUSG00000000223",0.253614475547134,-2.19271818437711,4.01340719610125,-0.546348296406899,0.584826543526169,NA
"ENSMUSG00000000244",188.94958170473,0.700766603366389,0.209290182954836,3.34830135591029,0.000813085457220788,0.00561271677559126
"ENSMUSG00000000247",0.838614610727387,-0.226904819374977,2.41139584691113,-0.0940968774022026,0.925032200849217,0.96140987166913
"ENSMUSG00000000253",340.014150744978,0.289466881079594,0.118732645228614,2.43797213918919,0.0147699123136824,0.064141637981954
"ENSMUSG00000000263",0.250235233302261,-0.0214694144857294,4.08045587180353,-0.00526152350625472,0.995801930997698,NA
"ENSMUSG00000000266",0.3719388868729,2.70329244224046,3.97924954245587,0.679347302399154,0.496917831467655,NA
"ENSMUSG00000000275",1426.49529310574,-0.114691649076978,0.100632363215896,-1.13970938783301,0.254407394738344,0.478306585636114
"ENSMUSG00000000276",241.524443065712,0.28865985545409,0.210553815327826,1.37095523538557,0.170388911021521,0.358203960670244
"ENSMUSG00000000278",11242.6171347883,0.139469406510269,0.0687094212457912,2.02984400074265,0.0423723987781052,0.130214182291519
"ENSMUSG00000000282",510.186886294345,0.774517729213924,0.114441660355472,6.76779528371189,1.30759592054378e-11,4.4797267648259e-10
"ENSMUSG00000000290",11778.8633856005,-0.0624638322503422,0.104807218097244,-0.595987885036563,0.551183320091711,0.744298643919464
"ENSMUSG00000000295",273.789602684901,-0.0781681655956497,0.186454941788407,-0.419233541604688,0.67504546105738,0.854195692856465
"ENSMUSG00000000296",0.455687541684445,2.51342902107529,3.90861567591458,0.643048390908164,0.520192700742419,NA
"ENSMUSG00000000301",39.5041054072694,-0.561766654664567,0.440515583101677,-1.27524808704646,0.202221445839933,0.405758866381645
"ENSMUSG00000000303",0.375352849953391,-0.0214742802062202,4.08045587179463,-0.00526271595158205,0.995800979577154,NA
"ENSMUSG00000000305",0.169076317031422,-1.63138420467857,4.0614511249901,-0.401675202895011,0.687923076244769,NA
"ENSMUSG00000000308",0.111317836498763,-0.983218705028775,4.08045587181216,-0.2409580536873,0.809587627044012,NA
"ENSMUSG00000000317",2.02512858829137,0.500173276705495,1.77344892731966,0.282034215364433,0.777917274718189,0.909699479856592
"ENSMUSG00000000318",89.1732885755561,0.430817734612776,0.251787770745201,1.71103518386819,0.0870746180018998,0.223113633384369
"ENSMUSG00000000320",1.91078781084722,2.74398897262951,1.63487720998151,1.6784067671116,0.0932677174482757,0.23191569526789
"ENSMUSG00000000325",2.13373905685947,1.45143714557687,1.43728892704647,1.00984368435891,0.31257018712121,0.529537404921464
"ENSMUSG00000000326",41.7970667387925,0.00587507839585678,0.435205187971264,0.0134995596519514,0.98922923691765,0.995846995951935
"ENSMUSG00000000339",807.624775719442,-0.177076609571802,0.0996988133287295,-1.77611551892739,0.0757138788512308,0.205574569633643
"ENSMUSG00000000340",221.812965223264,0.394753857823866,0.19138854038476,2.06257833948819,0.0391527074636486,0.1240158362501
"ENSMUSG00000000346",26553.6330112413,-0.00073735273178297,0.0921060865807968,-0.00800547237598846,0.993612625414576,0.995846995951935
"ENSMUSG00000000355",1172.61276358483,-0.221501500429358,0.140297473642943,-1.57879892401398,0.114382185494931,0.266507611039826
"ENSMUSG00000000359",0.0929847217182249,0.940326639731796,4.08045587181216,0.230446467079226,0.817744857094238,NA
"ENSMUSG00000000365",11.824210098459,-0.320193161433629,0.645263472380945,-0.49622080768365,0.619738631998897,0.800639992456675
"ENSMUSG00000000374",1230.38854117603,-0.243234261512935,0.127419166765319,-1.90892993328802,0.0562711309763616,0.162658737978545
"ENSMUSG00000000378",1041.44377475368,0.265180836804282,0.0954930844753543,2.77696377974598,0.00548692930778391,0.0295081954052333
"ENSMUSG00000000384",262.818101209317,-0.423978573608423,0.163140246944524,-2.59885945711849,0.00935340594392032,0.0452979083671534
"ENSMUSG00000000386",291.189412938765,0.154983733443461,0.23335131054042,0.66416482977761,0.506584820764448,0.704648058958066
"ENSMUSG00000000392",6.8116548477705,1.30404877354877,1.04289721219101,1.25040968400818,0.211149928832572,0.416447087782792
"ENSMUSG00000000399",2035.5403138643,-0.0772049832770781,0.0732329421297252,-1.05423844832448,0.29177376118356,0.511156683891653
"ENSMUSG00000000409",7.13129975842383,0.386168083262946,0.969220140608459,0.398431756711656,0.690311953020609,0.86306799509307
"ENSMUSG00000000411",2.91718019823492,-0.633925900993662,1.30011512164347,-0.487592129681806,0.62583877135275,0.80402897708513
"ENSMUSG00000000420",2117.86359183674,0.269119657536772,0.116560692128494,2.30883716133137,0.0209526190454591,0.0807548859043736
"ENSMUSG00000000439",2235.11141651367,-0.117358507171865,0.081269485177182,-1.4440660835491,0.148720387404453,0.322925723824222
"ENSMUSG00000000440",716.735799430853,-0.124464620520497,0.11846175013907,-1.05067349059405,0.293408575316154,0.513049021110477
"ENSMUSG00000000441",3431.20453015747,-0.185603006699521,0.0819605680312779,-2.26454026805538,0.023540905991461,0.0881592633283458
"ENSMUSG00000000486",16.2292456701199,1.09090811449744,0.518401978762443,2.10436718837708,0.0353464292937876,0.11710229412539
"ENSMUSG00000000489",3414.26711709948,-1.1629588996368,0.108312832439661,-10.737037093778,6.81980236357848e-27,5.25693098859175e-25
"ENSMUSG00000000530",465.126202716537,-0.26988727413101,0.113395990334632,-2.38004248064303,0.0173106423275964,0.0711360281867603
